Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.8,36.8,22,1012.1,71,0,12.6,14.4,18,,,,,
2,26.9,37.4,21.5,1013,76,0,15.6,,,,,,,
3,24.2,32.6,21.5,1013.2,86,0,14,,,,,,,
4,27.9,34.7,21.5,1015.2,70,0,8.5,29.6,,,,,,
5,28.3,34.7,22.3,1016.9,73,0,8.2,25.2,35.9,,,,,
6,26.9,34.3,23,1016.4,78,0,13,,,,,,,
7,29,35,24,1014.8,70,0,14.6,20.2,25.2,,,,,
8,28.4,35.2,22.5,1016,70,0,10,,,,,,,
9,27.5,33,22,1016.6,74,0,11.4,26.1,32.4,,,,,
10,25.6,32.6,22,1017.3,84,0,12.1,,,,,,,
11,26.3,31.8,23,1017.4,81,0,14,26.7,35.9,,,,,
12,28.1,32.5,23,1017.9,73,0,15.6,21.7,35.9,,,,,
13,27.6,32.5,23,1017.1,75,0,14,28.7,28.7,,,,,
14,27,32.2,23.2,1017.1,76,0,14,,,,,,,
15,27.1,34.2,21.3,1017.4,74,2.54,14,,,,,,,
16,26.5,32,21.3,1017.7,76,0,13.2,16.1,28.7,,,,,
17,27.2,32.2,21.5,1018.2,76,0,14,,,,,,,
18,26.1,32.2,22.1,1018.4,83,0,12.2,15.7,28.7,,,,,
19,25.8,30,21,1016.6,84,0,14.2,15.9,28.7,,,,,
20,26.9,31,21,1015.4,81,2.54,15.9,20.7,35.9,,,,,
21,27,32,22.5,1015.2,82,0,14.6,18,28.7,,,,,
22,27.1,33.1,23,1016.6,84,,14.6,,,,,,,
23,26.2,33.1,23,1018.5,82,0.51,14,,,,,,,
24,27.6,32.5,23,1018.2,78,0,13.5,23.3,35.9,,,,,
25,26.8,32,22.2,1018.4,81,,14,,,,,,,
26,26.2,31.6,21.8,,82,0,13.5,,,,,,,
27,25.3,31.1,21.6,1015.5,82,2.79,12.2,,,,,,,
28,,,,,,,,,,,,,,
29,27.9,31.5,21.4,1014.6,79,,12.9,,,,,,,
30,25.7,31.5,22.5,1014.7,88,13.21,14,,,,,,,
31,26.4,32.2,21.9,1015.3,82,0.51,12.7,,,,,,,
