Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.8,33,20,1016.5,70,0,24,14.8,22.2,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,28.3,30,21,1017.1,75,6.1,24,10.2,14.8,,,,,
5,27.5,31,20,1016.7,78,0.51,23.5,7.8,11.1,,,,,
6,26.8,31,20,1016.2,81,6.1,21.2,7,9.4,,,,,
7,29.8,32,21,1016,71,0,21.7,9.3,16.5,,,,,
8,28.8,32,21,1016,70,0.25,24,12.8,18.3,,,,,
9,28,31,21,1015.6,77,0,24,11.1,14.8,,,,,
10,29.8,31,26,1017.4,,0,24,10.2,14.8,,,,,
11,29.4,32,21,1018.3,70,1.02,24,10.4,14.8,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,28.8,32,19,1016.7,74,2.03,18.5,15.2,18.3,,,,,
15,,,,,,,,,,,,,,
16,30.2,33,28,1017.4,75,5.08,19.8,18.9,22.2,,,,,
17,29,33,21,1017.7,71,0,20,9.3,11.1,,,,,
18,,,,,,,,,,,,,,
19,29.8,33,22,1016.3,69,0,20,14.8,22.2,,,,,
20,29.8,33,22,1016.4,70,0,20.9,13,18.3,,,,,
21,,,,,,,,,,,,,,
22,29.4,33,21,1015.6,71,0,22.4,11.9,18.3,,,,,
23,28.3,33,22,1015.6,75,1.02,20,12.4,18.3,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,30.2,33,21,1015.5,70,0,24,15.9,22.2,,,,,
29,30.4,34,21,1014.8,66,0,24,13.1,18.3,,,,,
30,30.3,34,22,,73,0,24,12.4,18.3,,,,,
31,29.3,34,22,1013.5,68,0,23.5,8.9,11.1,,,,,
