Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,26.8,28.2,16,1017.3,75,0,15.9,17,21.7,,,,,
4,26,28.8,15.5,1019.2,78,0,15.9,15.4,25.2,,,,,
5,26.8,28.6,25.4,1020.3,74,0,15.9,18.7,21.7,,,,,
6,,,,,,,,,,,,,,
7,24.1,29,17,1018,76,0.25,15.9,16.1,25.2,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,26.7,29,19,1020.8,69,3.3,15.9,27,28.7,,,,,
11,,,,,,,,,,,,,,
12,25.2,27.8,19,1016,83,,15.9,15.7,21.7,,,,,
13,25.8,27.8,18.4,1016.6,71,17.27,15.9,18.9,21.7,,,,,
14,23.7,27.5,15,1017.7,84,1.52,15.9,13.7,28.7,,,,,
15,22.7,27,15,1017,83,20.57,15.9,12.6,21.7,,,,,
16,,,,,,,,,,,,,,
17,23.7,28,16.5,1017.2,87,8.89,15.9,8,14.4,,,,,
18,25.3,28.4,15.5,1017.7,80,3.56,15.9,16.5,28.7,,,,,
19,25.8,28.4,18.5,1017.7,78,1.78,15.9,14.4,21.7,,,,,
20,25.9,28.2,18,1017.1,75,0,15.9,18.9,25.2,,,,,
21,24.7,28.2,15.6,1016.5,84,0,15.9,10.7,18,,,,,
22,,,,,,,,,,,,,,
23,24.8,28.5,16,1018.2,83,0,15.9,10.7,18,,,,,
24,,,,,,,,,,,,,,
25,25.8,28.5,17,1018.4,74,0,15.9,10.7,14.4,,,,,
26,25.3,28.5,18,1018.7,82,1.02,15.9,23.3,28.7,,,,,
27,26.2,28.4,18,1019.5,80,9.4,15.9,19.8,28.7,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
