Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,28.8,32.4,24,1016.6,77,0,15.9,9.4,10.7,,,,,
3,26.9,30.2,23.2,1017.4,84,0,15.9,9.8,10.7,,,,,
4,28.2,31.6,23.5,1017.7,78,0,15.9,12.2,14.4,,,,,
5,26.8,32,23.5,1017.2,83,0,14.3,10.7,14.4,,,,,
6,26.8,32.4,22.4,1016.5,83,0,15.9,10.2,10.7,,,,,
7,27.6,31,24.2,1018.0,79,0,15.9,9.1,10.7,,,,,
8,27.3,31,24.6,1017.8,81,0,15.9,10.7,14.4,,,,,
9,28.5,31.2,24.2,1017.6,75,0,15.9,10,10.7,,,,,
10,27.6,31.7,24.5,1016.5,78,0,15.1,11.9,21.7,,,,,
11,26.3,31.7,23,1016.6,86,0,14.5,9.4,10.7,,,,,
12,27.4,31.2,25,1017.7,88,6.6,14.8,9.4,10.7,,,,,
13,28.9,32.2,23.4,1017.1,83,2.29,15.9,9.1,10.7,,,,,
14,29.1,31.9,25,1015.2,76,0,13,9.1,10.7,,,,,
15,28.6,31.9,25,1015.0,84,0,10.9,10.2,21.7,,,,,
16,27.9,32.3,24.6,1015.9,83,0,13.4,9.6,10.7,,,,,
17,,,,,,,,,,,,,,
18,28.7,32.5,23,1016.1,82,0,15.9,9.4,10.7,,,,,
19,27.1,29.8,23.6,1017.2,87,0.25,14.5,10.7,18,,,,,
20,,,,,,,,,,,,,,
21,27.4,32,24.2,1016.2,86,0,15.9,9.1,14.4,,,,,
22,27.1,32,24.2,1016.6,84,0.51,15.9,7.6,10.7,,,,,
23,26.9,31.8,24.2,1017.5,84,0,14,9.8,10.7,,,,,
24,27.8,31.8,20.2,1018.3,85,0,9.7,22,,,,,,
25,25.7,30.4,24,1016.9,89,0,15.1,8.7,10.7,,,,,
26,26.9,32.5,23.5,1015.6,85,1.02,15.9,8.7,10.7,,,,,
27,27.7,31.2,23.2,1016.5,81,0,15.9,12.6,25.2,,,,,
28,26.6,29,23,1016.9,87,1.02,15,12,18,,,,,
29,23.3,31,10.2,1017.3,99,11.18,15.3,10.7,14.4,,,,,
30,26.3,31,22.6,1015.7,83,19.56,15.1,9.3,10.7,,,,,
