Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-7.8,-5.3,-9.1,1026.7,87,0,,8.7,14.8,,,,,
2,-6.8,-5.6,-7.7,1021.8,88,0,,4.8,9.4,,,,,
3,-5.1,-2.9,-6.9,1016.7,89,0,,8.1,13,,,,,
4,-0.1,1.3,-1.8,1011.5,95,0,,20.2,68.3,,,,,
5,0.4,1.5,-0.4,1009.9,98,0,,26.9,50,,,,,
6,-0.3,0.7,-1.1,1010.7,96,0,,10.4,31.3,,,,,
7,0,0.2,-0.2,1016.2,,0,,5.2,9.4,,,,,
8,-1.6,0.4,-2.4,1021.1,94,0,,14.8,31.3,,,,,
9,,,,,,,,,,,,,,
10,-6.7,-5.8,-7.4,1017.2,89,0,,4.6,7.6,,,,,
11,-5.5,-4.8,-6.4,1024.5,87,0,,18.1,29.4,,,,,
12,-6.1,-5.4,-6.5,1022.3,81,0,,15.9,24.1,,,,,
13,-5.7,-4.9,-6.5,1016.8,88,0,,13.3,18.3,,,,,
14,-2.7,-1.3,-3.8,1003.8,95,0,,11.1,20.6,,,,,
15,-1.3,-0.3,-2.4,989.9,96,0,,7,14.8,,,,,
16,-5.8,-4.7,-8.1,988.4,85,0,,8,16.5,,,,,
17,-6.8,-5.9,-7.3,994.7,75,0,,7.4,14.8,,,,,
18,-6.2,-4.3,-7.7,1005.1,78,0,,7.6,20.6,,,,,
19,,,,,,,,,,,,,,
20,-8.1,-6,-9.5,1017.5,76,0,,12.2,33.5,,,,,
21,-8.1,-7.6,-8.7,1012.8,85,0,,15.4,29.4,,,,,
22,-5.8,-4.3,-7.7,996.3,73,0,,32.8,44.3,,,,,
23,-5.3,-4,-6.7,1005.5,56,0,,45.7,50,,,,,
24,-5.4,-5.1,-6.2,1021.9,68,0,,17.8,40.7,,,,,
25,-5.3,-4.2,-6.2,1014.6,87,0,,13.1,29.4,,,,,
26,-4.7,-3.8,-5.9,1004.8,92,0,,24.4,55.4,,,,,
27,-3.6,-2,-5.6,1000.1,95,0,,19.3,40.7,,,,,
28,-5,-4,-6.6,1017.3,92,0,,23.5,35.2,,,,,
29,-3.2,-1.2,-6.2,1012.1,96,0,,14.6,31.3,,,,,
30,-1.4,0.8,-2.9,1004.2,96,0,,18.5,38.9,,,,,
