Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.3,23.6,4.3,,77,0,15.9,2.6,18.3,,,,,
2,14.5,25.1,7.8,,78,0,15.3,2.2,11.1,,,,,
3,15.6,25.9,7.6,,78,0,12.7,1.1,11.1,,,,,
4,15.6,17.6,13.5,,96,0,16.1,0,,,,,,
5,16.4,27.8,7.6,,75,0,12.7,0.4,13,,,,,
6,17.1,29.5,7.7,,67,0,12.2,1.1,13,,,,,
7,16.4,28.5,8.3,,82,,15.9,2,20.6,27.8,,,,
8,20.6,23.3,18,,79,0,15.8,8.7,22.2,42.4,,,,
9,16.3,22.2,9.4,,46,0,16.1,13.3,25.9,40.7,,,,
10,11.8,25.3,1.8,,62,0,16.1,1.7,13,,,,,
11,12.4,24.4,3.2,,65,0,16.1,1.9,14.8,,,,,
12,11.3,24.4,0.8,,63,0,13,2.4,11.1,,,,,
13,12.4,26,3.2,,69,0,16.1,3,14.8,,,,,
14,15.1,24.2,8.5,,75,0,16.1,2,9.4,,,,,
15,16.5,25.8,10.8,,79,0,15.8,2.8,14.8,,,,,
16,18.7,23.9,15.1,,78,,15.8,1.7,9.4,,,,,
17,16,26.8,8.4,,79,0,13,2.2,14.8,,,,,
18,16.1,27.8,8.6,,81,0,12.2,2.4,13,,,,,
19,19.9,29.9,14.5,,76,0,16.1,1.5,11.1,,,,,
20,18.4,28.7,11.2,,74,0,14.5,3.3,18.3,27.8,,,,
21,15.1,19,8.6,,76,,15.3,4.6,16.5,48.2,,,,
22,9.8,14.9,6.4,,58,0,16.1,10.4,22.2,40.7,,,,
23,7.2,21.1,-2.1,,67,0,16.1,1.3,11.1,,,,,
24,10.6,25.8,1.4,,69,0,16.1,2,16.5,,,,,
25,11.3,24.6,1.7,,64,0,14,2,13,,,,,
26,11.3,24.4,1.6,,71,0,15.8,2.6,16.5,29.4,,,,
27,14.1,23.6,9,,84,,16.1,1.1,13,,,,,
28,15.1,27,8.4,,72,0,8.5,2.4,14.8,,,,,
29,13.9,27.2,4.4,,71,0,13,3.1,16.5,,,,,
30,14.1,26.6,5,,72,0,12.2,3.5,18.3,27.8,,,,
31,14.7,28,5.4,,72,0,14.5,2.8,14.8,,,,,
