Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,19.8,27.8,13.9,1010.7,83,,19.5,16.5,29.4,,,,,
2,23.9,30,17.8,1006.8,78,0,32,23.9,37,,,,,
3,19.3,28.3,14.4,1007.9,88,,23.8,18,35.2,,,,,
4,13.7,16.7,11.7,1011.3,94,,16.3,18.9,27.8,,,,,
5,17.7,25.6,11.7,1015.1,72,0,43,12.4,29.4,,,,,
6,17.7,26.7,11.1,1015.2,64,0,48,4.8,16.5,,,,,
7,20.3,30,13.3,1008.1,65,0,48,16.5,29.4,,,,,
8,20.3,27.8,15,1007.5,58,0,48,26.3,40.7,,,,,
9,14.1,23.3,7.2,1014.9,61,0,48,9.3,20.6,,,,,
10,22.4,31.1,17.8,1008.1,70,0,44.3,28.2,40.7,,,,,
11,19.5,30,15,1015.3,72,0,43,13.7,24.1,,,,,
12,19.8,28.3,14.4,1016.6,67,0,47.3,6.7,22.2,,,,,
13,20.9,25,14.4,1011.4,77,,40.9,22.2,46.5,,,,,
14,13.8,20.6,10.6,1017,72,,29.8,20.9,38.9,,,,,
15,14.7,23.9,7.2,1017,61,0,48,5.2,14.8,,,,,
16,16.4,24.4,9.4,1015.9,62,0,48,13.3,24.1,,,,,
17,14.2,21.1,10,1021.9,58,0,48,23.3,42.4,,,,,
18,11.4,20,3.3,1022.9,47,0,48,4.1,20.6,,,,,
19,14.3,23.9,7.2,1016.2,48,0,48,14.8,24.1,,,,,
20,16.6,25.6,8.9,1012.1,58,0,48,17.4,27.8,,,,,
21,19.6,28.3,12.8,1011.7,67,0,44.3,19.4,29.4,,,,,
22,22.2,29.4,17.8,1010.6,60,0,45.4,22,29.4,,,,,
23,22.6,28.9,17.2,1007.7,52,0,48,20,29.4,,,,,
24,16.5,24.4,9.4,1018.3,40,0,46,17,37,,,,,
25,18.2,28.3,11.7,1011.4,38,0,48,16.3,31.7,,,,,
26,20.2,25,16.1,1004.6,40,0,39.6,33.9,55.7,,,,,
27,10.7,19.4,5.6,1019.8,43,0,48,15.4,31.7,,,,,
28,9.4,20.6,2.8,1017.3,55,0,48,14.6,29.4,,,,,
29,15.1,20,11.1,1011.2,69,,45.4,22,31.7,,,,,
30,18.4,23.3,16.1,1012.3,88,,29,19.8,37,,,,,
31,11.8,21.1,8.9,1021.9,97,,9.3,21.1,29.4,,,,,
