Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,1.8,3,1,1027.2,92,0,11.6,20,27.8,35.2,,,,
2,3.8,4,3,1018.6,96,0,12.4,35.7,55.4,79.5,,,,
3,6.4,8,4,998.1,91,0,10.3,50.2,57.2,81.3,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,2.4,3,2,1017.7,89,0,14,20.2,27.8,38.9,,,,
9,1.3,4,-1,1020.4,88,0,16.1,11.7,25.9,,,,,
10,4.1,5,3,1013.8,90,0,13.2,26.5,40.7,61.1,,,,
11,5.7,7,4,,95,0,9.2,37,50,64.8,,,,
12,2.5,3,2,1007.4,79,0,14.5,35.6,40.7,55.4,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,3.7,4,3,1012.2,93,0,13.8,16.1,22.2,,,,,
16,3.4,5,2,1006.6,92,0,15.6,8.7,16.5,,,,,
17,4.8,5,4,995.8,,0,16.1,28.9,55.4,74.1,,,,
18,3.5,4,3,986.3,94,,13.5,57.6,61.1,87,,,,
19,2.9,4,2,1003.2,83,0,14.6,32.6,68.3,83.2,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,2.3,3,1,,69,0,16.1,11.5,14.8,,,,,
23,3.5,4,3,,87,0,14.3,13.1,24.1,,,,,
24,3,4,2,1006.4,91,0,14.3,25.9,61.1,83.2,,,,
25,3.5,5,1,,81,0,10.5,68.9,85.2,111.1,,,,
26,0.6,3,-2,1020.6,73,0,16.1,2.2,9.4,,,,,
27,3.5,5,3,,66,0,16.1,12,33.5,,,,,
28,,,,,,,,,,,,,,
29,4.6,5,3,,84,0,14.8,25.9,38.9,50,,,,
30,4,6,2,988.1,,0,11.3,53.9,72.2,83.2,,,,
