Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-5.2,1,-11,,47,,16.1,12.2,20.6,33.5,,,,
2,-3.9,2,-10,,46,0,16.1,6.5,16.5,25.9,,,,
3,-3.4,6,-12,,50,0,16.1,10.4,33.5,44.6,,,,
4,3.8,6,1,,56,0,15.9,13,24.1,33.5,,,,
5,-1.3,4,-9,,51,0,16.1,6.9,20.6,25.9,,,,
6,1.2,3,0,,72,,12.4,9.8,20.6,31.7,,,,
7,1.9,5,1,,72,0,15.8,7.2,18.3,,,,,
8,2.7,6,1,,75,,12.1,8,18.3,,,,,
9,0.4,3,-4,,63,0,16.1,15.9,31.7,37,,,,
10,2,3,0,,47,0,16.1,10.9,16.5,,,,,
11,0.2,3,-2,,54,,11.9,21.7,29.4,51.9,,,,
12,-1.7,1,-3,,72,,6.9,15,25.9,38.9,,,,
13,-2.3,2,-6,,68,,10.5,4.6,13,,,,,
14,-2.2,3,-9,,63,,14.5,11.3,33.5,53.5,,,,
15,1.1,3,-1,,75,,9.7,19.4,29.4,42.4,,,,
16,2.3,4,0,,66,,15,9.1,20.6,31.7,,,,
17,2.2,4,-2,,60,,16.1,6.7,16.5,27.8,,,,
18,-0.4,1,-1,,78,,5.3,16.9,31.7,44.6,,,,
19,-0.7,3,-3,,66,,6.1,26.9,38.9,53.5,,,,
20,-3.5,3,-15,,35,0,16.1,4.6,13,25.9,,,,
21,0.5,4,-4,,54,,15.3,16.3,33.5,46.5,,,,
22,1.4,3,-2,,69,,13.2,8,18.3,,,,,
23,0.7,5,-3,,50,,15.1,7.4,14.8,,,,,
24,0.1,5,-6,,58,,15.3,2.8,11.1,,,,,
25,1.9,6,-1,,62,0,16.1,6.9,20.6,25.9,,,,
26,8.3,18,2,,45,,16.1,6.1,14.8,,,,,
27,9.9,21,-1,,41,0,16.1,6.9,22.2,29.4,,,,
28,14.9,19,10,,45,,16.1,14.6,24.1,33.5,,,,
29,10.1,20,-1,,40,,16.1,3.5,13,,,,,
30,13.6,19,7,,42,,15.8,15.2,31.7,50,,,,
