Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-14.4,-7.2,-18.3,1033.3,73,0,13,10,25.9,38.9,,,,
2,-12.8,-10,-18.3,1034.5,65,0,15,19.1,29.4,40.7,,,,
3,-11.6,-5.6,-15.6,1022.8,56,0,15.8,17.4,22.2,33.5,,,,
4,-9.8,-5.6,-15.6,1017,70,0,9.5,19.4,31.7,44.6,,,,
5,-15.4,-8.3,-18.9,1023.3,59,0,15.8,20.9,31.7,44.6,,,,
6,-15.2,-11.7,-18.9,1031.5,62,0,15.3,16.3,27.8,38.9,,,,
7,-13.3,-3.9,-22.2,1032.4,60,0,16.1,10.7,25.9,31.7,,,,
8,0.3,2.2,-3.9,1018.1,68,1.52,11.6,20.9,31.7,48.2,,,,
9,0,2.2,-2.8,1023.1,,0,12.1,9.4,22.2,,,,,
10,1.2,9.4,-6,1023.2,83,0,9.5,6.9,16.5,27.8,,,,
11,12.7,16.7,9.4,1017.1,74,0,15.3,16.9,25.9,40.7,,,,
12,9.7,16.7,-3.9,1006.3,90,3.3,11.1,20.6,40.7,61.1,,,,
13,-7.6,-4.4,-9.4,1024,73,6.6,7.2,26.1,42.4,57.6,,,,
14,-10.2,-7.2,-12.8,1037.8,62,0,15.9,5.6,18.3,,,,,
15,-8.9,-3,-12.8,1031.3,70,0,11.4,5.4,18.3,,,,,
16,-7.7,-2.2,-13.3,1029.5,76,0,14.6,11.9,20.6,,,,,
17,-13.3,-2.8,-16.7,1032.3,75,0,12.9,12.4,22.2,,,,,
18,-8.5,-2.2,-16.7,1024,66,0,16.1,22,33.5,38.9,,,,
19,-2.7,2.8,-12.2,1018.2,56,0,16.1,23,29.4,40.7,,,,
20,3.2,6.7,-6.1,1015.2,56,0,16.1,23,29.4,42.4,,,,
21,5.3,8.9,1.1,1018.6,83,0,11.7,11.1,18.3,,,,,
22,10.7,16.1,3.9,1012,79,0,10.8,12,27.8,40.7,,,,
23,7.3,16.1,2.2,1004.4,80,6.86,14.8,20.9,35.2,55.4,,,,
24,-0.9,1.7,-2.2,1019.2,78,0,14.6,17.2,35.2,51.9,,,,
25,-2.1,1.1,-4.4,1030.4,71,0,15.1,10.6,20.6,,,,,
26,3.7,12.2,-4.4,1030.3,56,0,16.1,14.3,25.9,33.5,,,,
27,7.9,8.9,7,1023.7,54,0,15.1,19.6,25.9,37,,,,
28,3.9,10.6,-3.3,1025.4,73,0,8.7,5.2,14.8,,,,,
29,0.9,10.6,-3.9,1022.5,75,0,13.2,6.1,29.4,40.7,,,,
30,-6,-2.2,-7.8,1028,71,0,9.3,20.7,29.4,48.2,,,,
31,-3.3,6.7,-10.6,1019.5,57,0,16.1,17.2,31.7,50,,,,
