Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.9,17.7,6.6,1024.8,75,0,10.8,5.9,18.7,,,,,
2,11,15.5,7.7,1021.6,76,0,10.1,8.1,18.7,,,,,
3,11.9,15.5,7.7,1017.4,77,0,8.7,5,18.7,,,,,
4,12.4,16.6,10,1014.7,76,0,8.9,5.4,18.7,,,,,
5,14.6,20,12.2,1014.1,69,5.08,10.5,12,22.2,33.2,,,,
6,13.2,18.3,11.1,1018.3,85,0,11.3,4.6,14.8,,,,,
7,13.3,16.6,11.1,1008.9,81,0,10,2.6,11.1,,,,,
8,13.5,16.6,12.7,996.9,91,22.1,9.3,7.6,22.2,,,,,
9,11.6,13.8,10,1007.1,85,0,11.1,12.2,25.9,,,,,
10,11.1,13.8,8.8,1020.6,83,9.91,11.3,9.1,24.1,33.2,,,,
11,12.7,15,11.1,1021.4,76,0.51,11.3,12.8,25.9,,,,,
12,11.1,15.5,7.7,1022.9,75,0,11.3,6.7,18.7,,,,,
13,10.9,15,7.7,1021.8,72,0,11.3,7.2,14.8,,,,,
14,11.2,16.1,6.6,1016,67,0,11.3,6.3,16.5,,,,,
15,11.1,16.6,7.7,1012.7,73,0,11.3,14.4,37,55.4,,,,
16,10.8,15,10,1013.5,59,0,11.3,16.9,40.7,53.5,,,,
17,10.4,12.7,8.8,1014.2,82,8.89,10.9,14.6,33.5,46.1,,,,
18,12.8,15,10.5,1007.2,89,17.02,10.8,14.1,27.8,42.4,,,,
19,13.4,15,11.6,998.3,81,10.41,10.5,26.9,51.9,81.3,,,,
20,10.1,15,7.2,1004.8,70,13.97,10.3,25.4,42.4,88.5,,,,
21,10.2,12.7,7.2,1017.3,74,2.54,11.3,12.8,18.7,,,,,
22,10.4,12.7,9.4,1018.9,76,2.03,10.1,9.8,29.4,,,,,
23,11.9,13.8,9.4,1010.2,84,6.1,10.5,20,36.7,46.1,,,,
24,10.1,13.3,7.7,1012.7,60,6.1,11.3,21.5,29.4,44.3,,,,
25,9.5,12.2,8.3,1017,67,0,11.3,10,25.9,34.8,,,,
26,9.5,11.6,7.7,1014.6,68,3.81,11.3,10.6,21.9,33.2,,,,
27,10.3,15.5,5,1016.7,61,1.02,11.3,4.6,20.6,,,,,
28,11.4,16.1,7.7,1019.1,66,0,11.3,7.8,18.7,,,,,
