Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.3,33,21,,35,0,16.1,16.7,42.4,63,,,,
2,22.9,34,13,,34,0,15.9,8.9,27.8,37,,,,
3,26.8,37,15,,22,0,16.1,7.6,20.6,29.4,,,,
4,28.8,35,20,,20,0,16.1,10.4,25.9,35.2,,,,
5,28.1,36,20,,24,0,16.1,11.9,24.1,40.7,,,,
6,26.4,33,19,,24,0,16.1,10.2,20.6,31.7,,,,
7,26.7,36,18,,26,0,16.1,10.4,18.3,29.4,,,,
8,28.6,35,19,,26,0,16.1,22,37,55.4,,,,
9,14.3,25,9,,85,17.78,14.6,11.7,27.8,37,,,,
10,10.5,14,9,,94,12.19,14,8,18.3,,,,,
11,14.5,21,10,,82,0,16.1,5.6,11.1,,,,,
12,17.6,26,11,,77,0,14.3,6.3,16.5,,,,,
13,19.4,28,10,,52,0,16.1,6.9,16.5,,,,,
14,21.2,27,15,,47,0,16.1,10.4,25.9,35.2,,,,
15,19.4,27,13,,54,0,16.1,6.7,16.5,,,,,
16,21.4,31,14,,45,0,16.1,4.1,24.1,37,,,,
17,22.9,30,13,,29,0,16.1,11.9,31.7,46.5,,,,
18,21.2,28,12,,38,0,16.1,8.9,16.5,,,,,
19,21.1,28,12,,40,0,16.1,9.6,18.3,27.8,,,,
20,21,29,11,,35,0,16.1,7,22.2,,,,,
21,21.4,30,12,,33,0,16.1,5.9,14.8,,,,,
22,21.9,32,12,,27,0,16.1,7,18.3,,,,,
23,23.7,33,16,,24,0,16.1,9.6,29.4,38.9,,,,
24,23.8,33,13,,26,0,16.1,8.5,18.3,29.4,,,,
25,24.1,34,15,,25,0,16.1,6.7,16.5,,,,,
26,26.2,34,17,,18,0,16.1,11.7,29.4,37,,,,
27,25.9,33,17,,19,0,16.1,8.5,18.3,31.7,,,,
28,21.1,32,14,,25,0,15.9,14.6,27.8,44.6,,,,
29,16,25,4,,26,0,16.1,9.4,16.5,27.8,,,,
30,18.1,30,8,,26,0,16.1,6.5,13,,,,,
