Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,1.6,12.2,-15,1019.9,44,0,16.1,8.9,24.1,,,,,
2,-0.3,13.9,-10.6,1021.7,49,0,16.1,7.6,22.2,35.2,,,,
3,3.8,13.9,-9.3,1015.8,42,0,16.1,12.6,24.1,,,,,
4,-0.4,12.2,-12.8,1026.6,58,0,15.9,6.3,16.5,,,,,
5,-2.7,11.1,-12.8,1029.1,50,0,16.1,3.3,9.4,,,,,
6,-5.3,2.8,-10,1020.8,55,0,15.9,5.7,9.4,,,,,
7,-3.2,11.1,-13.9,1015.5,68,0,12.9,7.4,20.6,,,,,
8,-3.8,10.6,-16.7,1013.8,52,0,16.1,11.1,38.9,53.5,,,,
9,-3.7,10.6,-15.6,1010.3,58,0,11.7,17.4,29.4,42.4,,,,
10,-20.1,-6.7,-30,1029.1,70,5.08,14.5,6.7,16.5,,,,,
11,-16.7,-5,-30.6,1027.5,79,1.78,8.7,3.7,14.8,,,,,
12,-17.2,-2.8,-26.7,1029.9,73,0,16.1,5.7,14.8,,,,,
13,-14.9,0.6,-26.7,1030,70,0,16.1,3.3,11.1,,,,,
14,-10.4,0.6,-25,1019.7,85,0,10.9,6.3,22.2,,,,,
15,-8.7,0.6,-20.6,1014,80,5.08,15.3,10,29.4,31.7,,,,
16,-8.3,0.6,-18.9,1013.4,80,1.27,11.9,8.1,20.6,,,,,
17,-15.8,-1.1,-24.4,1022.1,75,0.25,15.9,6.7,14.8,,,,,
18,-13.4,1.1,-23.9,1018.3,79,0,13.8,9.3,33.5,46.5,,,,
19,-2.6,-0.6,-9.4,1005.5,79,0.76,11.9,24.6,50,68.3,,,,
20,-18.7,-9.4,-28.9,1034.9,56,1.52,16.1,8.5,25.9,37,,,,
21,-23.6,-9.4,-32.8,1047.4,67,0,16.1,2.4,11.1,,,,,
22,-21.5,-8.3,-32.2,1040.4,71,0,15.4,4.1,9.4,,,,,
23,-21.4,-5.6,-32,1035.9,71,0,14.6,3.1,11.1,,,,,
24,-15.9,-2.2,-31.7,1025.3,71,0,15.9,5,13,,,,,
25,-10.9,-2.2,-23.9,1016.1,73,0,16.1,5.4,16.5,,,,,
26,-15.5,-3.3,-24.4,1022,77,0,15.6,3.9,14.8,,,,,
27,-14.3,-1.7,-24.4,1012.3,81,0,14.3,8.9,18.3,,,,,
28,-15.9,-1.7,-26.1,1020.3,74,0,15.9,4.4,16.5,,,,,
29,-20.9,-5,-32.2,1035.8,67,0,16.1,6.9,14.8,,,,,
30,-20.7,-8.3,-30.6,1032.4,73,0,15.8,4.8,11.1,,,,,
31,-12.6,-6,-19.4,1019.9,79,0,11.9,3.5,13,,,,,
