Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,4.7,14,-2.7,,66,0,16.1,3.3,14.8,,,,,
2,4.4,12.1,-2.7,,84,0.51,16.1,2.2,14.8,,,,,
3,9.2,12.6,7.1,,98,22.61,10.3,2.2,14.8,,,,,
4,13.7,18.6,7.3,,91,5.84,13.2,8.1,31.7,40.7,,,,
5,5.9,18.6,-1.9,,56,0,16.1,9.8,24.1,44.6,,,,
6,4.4,15.4,-3.4,,64,0,15.9,2.4,13,,,,,
7,4.2,15.4,-3.4,,81,2.29,15,4.6,18.3,35.2,,,,
8,5.6,15.6,-3.4,,52,0,16.1,7.6,24.1,40.7,,,,
9,4.6,15.6,-3.4,,60,0,16.1,3.1,13,,,,,
10,8.5,15.3,-1.9,,76,0,16.1,1.5,13,,,,,
11,16.3,20.8,4.6,,91,1.02,15.3,12.4,24.1,37,,,,
12,18.6,21,15,,85,7.87,14.2,14.8,53.5,83.5,,,,
13,17.2,21,14.5,,98,3.3,12.9,3.7,13,,,,,
14,17.7,18.7,15.7,,98,22.61,12.6,5.9,16.5,25.9,,,,
15,15.4,21.1,12,,90,5.33,8.9,4.1,14.8,,,,,
16,14.7,21.1,11.1,,68,0.25,13.5,8.5,25.9,38.9,,,,
17,6.2,17.3,2.4,,36,0,16.1,9.1,20.6,38.9,,,,
18,4.4,8.5,1.2,,53,0.76,16.1,4.1,16.5,,,,,
19,8.3,12.4,1.2,,68,2.03,13,9.1,22.2,33.5,,,,
20,0.9,12.4,-2.2,,47,0,16.1,14.1,25.9,40.7,,,,
21,-1.2,3.5,-4.1,,48,0,16.1,13,25.9,35.2,,,,
22,0.3,7.1,-4.3,,44,0,16.1,12.8,22.2,29.4,,,,
23,0.9,9.4,-5.3,,63,0,16.1,5.7,11.1,,,,,
24,7.9,17.1,3.4,,80,4.32,13.7,10,20.6,33.5,,,,
25,9.9,17.1,3.4,,85,38.61,14.5,5.6,14.8,,,,,
26,4.7,12.5,-2.5,,65,0,16.1,4.4,16.5,,,,,
27,4.5,11.6,-2.5,,86,0.51,16.1,1.5,13,,,,,
28,5.7,11.7,-0.5,,76,0,15.9,3.9,18.3,,,,,
29,3.5,11.7,-1.8,,77,0,16.1,3,18.3,,,,,
30,6.2,11,-1.8,,68,,16.1,7,14.8,,,,,
31,1.7,11,-2.4,,85,15.24,14.2,4.8,16.5,,,,,
