Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,19.2,28,12.4,1015.8,37,,81.3,15.2,29.4,,,,,
2,18.3,25.7,11.3,1015.4,40,0,96.1,11.9,25.9,,,,,
3,18.6,28.5,12.4,1014.3,37,0,97.4,9.6,18.3,,,,,
4,20.5,30.7,12.4,1016,22,0,120.1,11.9,18.3,,,,,
5,21.4,28,14.6,1014.9,24,0,109.3,14.1,27.8,,,,,
6,20.6,28,14.1,1012,34,0,96.1,13.9,22.2,,,,,
7,20.3,28,13,1013.2,30,0,94,8.3,14.8,,,,,
8,19.9,27.4,11.9,1012.3,31,0,96.1,10.4,18.3,,,,,
9,19.7,27.4,11.3,1011.7,30,0,96.1,12.2,18.3,,,,,
10,21.7,26.8,16.3,1008.3,27,,96.1,17.6,35.2,,,,,
11,20,24.1,16.3,1002.7,30,0,110.7,15.2,31.3,,,,,
12,15.8,22.4,10.7,1005.8,46,,71.9,29.3,59.4,,,,,
13,16.1,21.8,13,1016.7,60,,54.1,36.3,64.8,,,,,
14,15.1,20.2,9.6,1012.7,62,,83.4,19.8,53.5,,,,,
15,12,19.1,6.9,1012.6,59,0,113.3,15.4,33.5,,,,,
16,13.7,21.8,6.3,1009.5,53,0,96.1,10,16.5,,,,,
17,15.6,22.4,9.1,1008.7,43,0,108,10.9,27.8,,,,,
18,16,25.2,9.6,1013.7,43,0,118.6,16.7,27.8,,,,,
19,17.1,24.6,8.5,1018,39,0,110.7,14.1,22.2,,,,,
20,16.7,25.7,8,1017,42,0,127.9,9.8,16.5,,,,,
21,19.1,25.2,13,1010.7,39,0,105.4,16.1,42.4,,,,,
22,14.6,23.5,9.1,1008.5,27,0,106.7,20,42.4,,,,,
23,9.4,15.7,4.1,1014.9,38,0,108,10.7,27.8,,,,,
24,10.6,18.5,4.1,1016.5,39,0,127.9,11.7,35.2,,,,,
25,10.2,17.4,2.4,1018.3,36,0,127.9,12.6,25.9,,,,,
26,10.2,20.7,1.3,1015.7,30,0,127.9,12.4,22.2,,,,,
27,12.1,22.4,3.5,1014.9,28,0,122.6,11.5,16.5,,,,,
28,13,23.5,4.6,1013.6,33,0,112,10.4,18.3,,,,,
29,14.1,21.3,5.2,1010.3,29,0,101.4,10.4,18.3,,,,,
30,13.8,19.1,7.4,1010.4,37,0,96.1,15,35.2,,,,,
31,11.8,20.7,5.2,1019.5,33,0,110.7,14.6,35.2,,,,,
