Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.8,21,10,,20,0,16.1,10.9,27.8,29.4,,,,
2,15.9,23,7,,15,0,16.1,24.8,44.6,61.1,,,,
3,15.7,20,9,,15,0,16.1,27.2,37,55.4,,,,
4,12.1,22,-2,,17,0,15.1,14.3,25.9,37,,,,
5,14.8,19,5,,18,0,16.1,14.8,25.9,33.5,,,,
6,16.1,23,7,,22,0,16.1,10.9,25.9,40.7,,,,
7,17.7,27,6,,27,0,16.1,15.9,37,48.2,,,,
8,20.7,25,14,,22,0,16.1,35.7,53.5,72.2,,,,
9,14.9,21,3,,15,0,16.1,24.1,38.9,50,,,,
10,11.1,21,1,,26,0,15.4,10.6,27.8,,,,,
11,15,27,2,,15,0,16.1,14.1,40.7,50,,,,
12,17.7,26,7,,13,0,16.1,27.6,63,81.7,,,,
13,8.3,21,-1,,23,0,16.1,46.7,66.5,77.8,,,,
14,7.1,16,1,,22,0,16.1,33.9,55.4,75.9,,,,
15,12.6,21,-2,,14,0,16.1,15.2,27.8,42.4,,,,
16,16.4,24,6,,10,0,16.1,8.5,27.8,46.5,,,,
17,16.1,24.9,5.2,,8,0,15.6,31.3,64.8,83.5,,,,
18,9.1,18,0,,14,0,16.1,15.6,37,51.9,,,,
19,12.6,23,2.8,,18,0,16.1,20.6,51.9,61.1,,,,
20,13.3,23.7,2.5,,25,0,16.1,27.4,46.5,61.1,,,,
21,8.1,19,-0.5,,45,0,16.1,14.1,29.4,51.9,,,,
22,13.9,22,2,,30,0,16.1,13.1,20.6,25.9,,,,
23,17.1,26,3,,26,0,16.1,11.7,22.2,31.7,,,,
24,17.5,28,6,,15,0,16.1,12.2,27.8,37,,,,
25,13.2,26,4,,39,0,16.1,14.1,38.9,48.2,,,,
26,15.7,26,1.6,,17,0,16.1,12.4,33.5,51.9,,,,
27,14.7,25.9,1.6,,25,0,16.1,19.3,44.6,53.5,,,,
28,16.8,24,7.9,,30,0,15.8,15.9,55.4,77.8,,,,
29,17.2,27,6.5,,28,,16.1,13.5,38.9,51.9,,,,
30,16.9,27.8,6.1,,12,0,16.1,19.8,38.9,57.6,,,,
