Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.4,34.6,22.4,1021.2,73,0,17.5,3.5,9.4,,,,,
2,28.8,35.7,23.5,1018.7,72,0,19,5.2,22.2,,,,,
3,29.4,35.7,24.1,1015.1,71,0,18.5,6.5,16.5,,,,,
4,29.6,35.2,24.1,1012.9,75,0,17.1,4.4,11.1,,,,,
5,29.2,34.6,24.1,1015.1,75,0,17.9,8.9,16.5,,,,,
6,28.8,35.2,24.1,1016.7,76,0,17.9,6.9,18.3,,,,,
7,28.4,34.6,23,1016,75,0,18.8,8.7,16.5,,,,,
8,27.7,32.9,24.6,1016.2,75,,18,11.5,22.2,,,,,
9,25.9,31.3,20.2,1017.6,64,0,19.5,10,16.5,,,,,
10,25.6,32.9,19.6,1015.5,66,0,13,3,7.6,,,,,
11,26.7,34.1,21.3,1014,71,0,10.1,5.7,13,,,,,
12,27.1,32.9,24.1,1014.3,82,0,10.9,5.7,22.2,,,,,
13,27.8,36.3,22.4,1015,77,0,11.6,6.3,9.4,,,,,
14,27.4,34.6,23,1015.6,80,,11.4,5.2,25.9,,,,,
15,27.2,34.1,23.5,1015.5,83,,12.4,5.7,29.4,,,,,
16,25.1,29.1,23.5,1014.7,94,,11.7,5.4,11.1,,,,,
17,26.7,31.8,23.5,1013.1,87,,12.2,4.8,11.1,,,,,
18,28.3,34.6,23,1012.7,77,0,16.6,4.6,13,,,,,
19,25.3,30.7,21.8,1013.1,86,,12.9,5.7,22.2,,,,,
20,24.4,30.7,20.7,1014.2,84,,14.2,5.6,18.3,,,,,
21,23.9,28,21.8,1014.9,89,,13,4.8,13,,,,,
22,25.2,28.5,22.4,1015.2,87,0,12.1,7.2,13,,,,,
23,24.8,28.5,21.8,1014.4,87,,13.8,9.4,16.5,,,,,
24,24.3,27.4,21.3,1014.9,88,0,12.4,9.4,16.5,,,,,
25,25.4,31.3,21.8,1015.6,78,0,12.6,11.1,16.5,,,,,
26,27.1,32.9,21.8,1015.4,68,0,15.9,7.2,18.3,,,,,
27,26.3,32.9,21.3,1014.9,72,0,11.7,7.4,16.5,,,,,
28,26.9,30.7,23.5,1014.6,79,0,11.3,9.3,25.9,,,,,
29,27,32.4,24.1,1016.5,82,,13.8,9.8,22.2,,,,,
30,27.6,34.1,21.8,1019.2,68,0,16.3,6.9,16.5,,,,,
31,26.1,34.6,18.5,1020.6,68,0,20.3,3.9,11.1,,,,,
