Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.6,29.6,19.6,1015.4,75,,13.7,16.9,37,,,,,
2,22.9,27.4,20.2,1013.6,75,,15.3,15,31.3,,,,,
3,22.7,30.2,18.5,1013.4,77,0,18.8,11.1,22.2,,,,,
4,21.5,25.7,18.5,1016,78,,15.3,12,22.2,,,,,
5,23.9,30.7,18.5,1016.2,71,0,18,2.8,7.6,,,,,
6,24.7,29.6,20.2,1014.3,71,,15.1,4.8,14.8,,,,,
7,26,31.8,21.3,1012.7,69,0,14.3,3.7,9.4,,,,,
8,25.7,30.7,21.3,1013.8,69,0,14,3.7,11.1,,,,,
9,26.7,31.3,22.4,1016.1,68,0,15.1,3.5,9.4,,,,,
10,24.3,31.3,18,1017.7,66,0,16.9,4.8,22.2,,,,,
11,25.7,30.7,21.3,1015.5,72,0,17.9,4.3,18.3,,,,,
12,24.2,29.6,20.2,1012.7,70,,18.3,4.6,11.1,,,,,
13,24.2,30.2,19.1,1012.4,73,0,14.5,3.5,16.5,,,,,
14,24.7,29.6,19.6,1013.6,69,0,12.1,6.5,14.8,,,,,
15,25,30.7,19.6,1012.4,68,0,13.8,4.4,9.4,,,,,
16,27.2,31.8,21.8,1011.9,66,0,15.4,5.6,13,,,,,
17,27.2,32.4,23,1013.8,70,,16.3,5,22.2,,,,,
18,25.5,31.3,22.4,1016.6,76,0,15.6,6.9,14.8,,,,,
19,24.9,31.3,21.8,1016.1,75,,9.3,3.1,14.8,,,,,
20,24.4,29.6,21.8,1013.2,75,,13.5,6.9,16.5,,,,,
21,25.2,31.3,19.1,1013.2,65,0,13.5,2.2,7.6,,,,,
22,25.9,32.4,19.6,1014.3,63,0,10.5,1.7,7.6,,,,,
23,26.6,33.5,21.3,1016.1,66,,12.7,2.6,7.6,,,,,
24,26.2,32.4,21.8,1017.9,70,0,13.4,3.9,11.1,,,,,
25,25.7,31.8,21.3,1015.6,68,0,14,5.2,14.8,,,,,
26,25.9,31.3,21.3,1014.9,67,0,16.3,3,9.4,,,,,
27,26.5,31.8,21.8,1017.6,68,0,16.9,1.7,7.6,,,,,
28,24.3,29.6,21.3,1019.1,73,,13.2,4.4,18.3,,,,,
29,24.3,30.2,20.7,1018.7,73,0,10.8,3,9.4,,,,,
30,23.9,29.1,21.3,1016.8,77,,12.9,3.7,18.3,,,,,
