Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.8,29.4,15.6,1014.3,60,0,10.6,8.5,14.8,,,,,
2,25.3,29.4,20,1013.7,66,0,9.7,8.1,18.3,,,,,
3,23.7,29.4,21.1,1013,86,0,9.8,11.7,22.2,,,,,
4,24.8,30,20.6,1007.7,79,34.04,10.6,14.6,27.8,,,,,
5,27.1,31.7,21.1,1006.9,65,4.06,11.1,14.1,22.2,,,,,
6,27.8,32.2,20.6,1010.6,61,0,10.3,8.3,14.8,,,,,
7,28.3,32.8,22.2,1015.4,67,0,10,8.9,33.5,,,,,
8,26.7,32.8,21.1,1017.5,77,9.91,11.3,13,31.7,,,,,
9,24.7,27.2,22.7,1014.6,91,5.08,10.5,10,18.3,,,,,
10,27.1,32.2,22.7,1011.4,81,7.87,9.8,13,18.3,,,,,
11,26.9,32.2,22.8,1011.7,77,0,10.3,11.5,27.8,,,,,
12,21.1,30.6,19.4,1013.4,92,64.01,7.6,9.4,14.8,,,,,
13,23.4,26.7,20.6,1012.9,88,0,9.2,7.8,14.8,,,,,
14,24.9,28.9,21.1,1012.4,79,0,11.7,10,14.8,,,,,
15,26.9,32.2,21.1,1013.2,73,0,10.6,9.6,18.3,,,,,
16,27.2,32.2,21.7,1015.5,75,0,10.1,8.1,18.3,,,,,
17,26.6,31.1,23.9,1018.2,77,1.02,10.9,8.5,14.8,,,,,
18,26.7,31.1,19.4,1018,70,0,10.3,6.5,11.1,,,,,
19,27.9,32.8,21.7,1012.3,69,0,9.2,8.1,18.3,,,,,
20,28.2,32.8,20,1007.6,61,0,9.2,10.4,20.6,,,,,
21,27.9,33.9,18.9,1009.4,62,0,7.9,7.4,18.3,,,,,
22,24.5,29.4,20,1012.8,73,6.1,9.3,7.4,11.1,,,,,
23,26.3,31.1,21.1,1013.3,78,0,8.4,9.4,18.3,,,,,
24,28.8,33.3,20.5,1010.1,68,0,10.5,12.4,33.2,,,,,
25,28.6,33.3,22.7,1009.9,72,0,10.8,11.5,18.3,,,,,
26,26.7,33.3,22.2,1010.3,81,0.25,9.5,5.6,14.8,,,,,
27,27.3,32.7,22.2,1009.9,73,2.03,10,9.4,21.9,,,,,
28,28.1,33.3,22.7,1010.1,73,0,9.5,9.3,14.8,,,,,
29,26.9,33.3,22.2,1011.8,79,0,11.3,9.6,21.9,,,,,
30,25.8,30,22.2,1013.3,84,0,10,11.9,18.3,,,,,
