Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,-10.1,-8,-13,,84,,8.2,20.2,29.4,,,,,
2,-5.9,-1,-8,,87,,7.6,26.7,33.5,,,,,
3,-9,-7,-10,,69,,17.4,33.9,37,46.5,,,,
4,-13.6,-10,-17,,60,0,28.5,25.9,40.7,51.9,,,,
5,-13.5,-6,-23,,72,,24.8,16.1,25.9,,,,,
6,0.3,5,-5,,77,,12.6,25,31.3,37,,,,
7,-10.2,-3,-14,,78,,9,21.3,33.5,,,,,
8,-9,-7,-12,,91,,4.2,17,25.9,,,,,
9,-12.6,-9,-17,,68,,23.8,20.7,29.4,,,,,
10,,,,,,,,,,,,,,
11,-1.8,7,-9,,60,0,26.2,24.3,33.5,44.3,,,,
12,4.3,6,2,,68,0,13,18.5,29.4,,,,,
13,-1.1,6,-5,,76,,6.1,21.3,29.4,,,,,
14,-6.4,-4,-8,,82,0,23,15.4,25.9,,,,,
15,-2.3,0,-5,,89,0,9.2,18,27.8,,,,,
16,4.1,10,0,,76,0,18.5,15.7,29.4,,,,,
17,4.1,7,1,,95,,7.7,18.9,27.8,,,,,
18,4.4,6,2,,61,0,25.1,30.9,37,74.1,,,,
19,3.9,8,0,,58,0,22,18.9,33.5,,,,,
20,2.3,6,-4,,75,0,15.6,8.5,14.8,,,,,
21,4.9,8,2,,94,,4.8,16.1,25.9,,,,,
22,12.3,14,11,,95,0,13.5,13.9,25.9,37,,,,
23,3.5,11,0,,92,,7.9,18.1,29.4,,,,,
24,4.2,8,1,,80,0,16.3,18.7,33.5,,,,,
25,2.3,4,0,,72,0,18.8,18.3,29.4,,,,,
26,4.8,11,-2,,78,0,12.2,19.6,27.8,,,,,
27,14.7,20,8,,67,0,24.3,25.7,37,55.4,,,,
28,4.4,11,1,,75,,16.3,15.6,22.2,,,,,
29,1.9,5,0,,76,0,16.9,18.3,27.8,,,,,
30,3.9,8,0,,64,0,15.4,24.4,37,48.2,,,,
31,5.7,9,3,,81,,5.6,29.8,37,,,,,
