Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.5,18,13,1014.7,81,0,16.1,26.3,37,50,,,,
2,13.6,18,11,1015.6,87,,15.4,16.5,27.8,42.4,,,,
3,16.4,23,13,1014.4,85,,10.9,8.9,13,,,,,
4,18.6,26,13,1013.2,78,0,11.4,11.7,20.6,,,,,
5,19.8,26,16,1011.5,89,0,9,16.9,24.1,33.5,,,,
6,25.4,35,21,1004.6,76,0,10,21.7,29.4,,,,,
7,27.2,37,18,1003.3,62,0,16.6,16.7,24.1,,,,,
8,27.9,32,22,1002.2,58,0,17.1,20.7,31.3,42.4,,,,
9,20.1,26,15,1008.3,65,0,16.7,28.9,46.5,53.5,,,,
10,20.1,35,13,1009.7,72,0,17.7,18.7,38.9,46.5,,,,
11,30.2,40,23,998.9,57,0,11.7,27,38.9,48.2,,,,
12,31.6,38,26,995.6,38,0,11.3,20.6,27.8,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,23.1,33,17,1011.1,54,,16.1,23.9,40.7,44.3,,,,
16,27.6,36,20,1005.3,60,0,16.1,20.7,33.5,42.4,,,,
17,28.5,37,23,999.9,53,,11.4,28.7,40.7,59.4,,,,
18,23.6,35,14,1006.3,30,0,14,23,37,51.9,,,,
19,16.8,23,10,1019.3,61,0,13.8,19.3,37,44.3,,,,
20,17.2,29,9,1017.6,71,0,18,8,13,,,,,
21,23.6,34,16,1013.5,57,,18.5,12.8,22.2,,,,,
22,27.4,39,17,1008.7,47,0,20.4,17.4,31.3,44.3,,,,
23,24.8,38,18,1002.6,51,0,15.4,14.1,27.8,,,,,
24,31,41,21,997.9,36,0,20.1,17,31.3,38.9,,,,
25,27.2,42,20,1000.8,67,,14.8,30.2,42.4,63,,,,
26,30.2,34,24,999.2,59,,14.5,34.3,48.2,66.5,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,29.8,38,22,1006.7,54,0,17.5,22.4,33.5,50,,,,
31,30.5,37,22,1008.8,49,0,16.6,24.3,35.2,48.2,,,,
