Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.8,19.4,5.6,1000.9,29,0,16.1,15.2,37,51.9,,,,
2,11.8,21.7,1.7,1000.6,38,0,16.1,13.9,40.7,48.2,,,,
3,12.5,21.7,1.7,1011.1,47,0.25,16.1,16.7,40.7,51.9,,,,
4,17.8,31.1,4.4,1009.9,28,0,16.1,23,44.6,57.6,,,,
5,18.4,31.1,6.7,1009.2,23,0,16.1,23.7,33.5,44.6,,,,
6,19.9,32.8,9.4,1006.3,28,0,16.1,27.6,42.4,64.8,,,,
7,16.1,31.1,7,1012.1,28,0,16.1,33.5,50,64.8,,,,
8,10.5,18.3,2.2,1024.5,36,0,16.1,21.7,33.5,48.2,,,,
9,13.1,18.9,2.2,1017.6,51,0,16.1,26.5,40.7,50,,,,
10,17.7,28.3,10,1004.5,46,0.51,7.7,37.6,68.3,81.7,,,,
11,18.7,31.1,7.2,1005,24,0.25,16.1,17.4,46.5,63,,,,
12,21.6,31.1,7.2,1000.8,24,0,15.9,20.4,46.5,53.5,,,,
13,12.6,28.9,3.3,1013.3,52,0,16.1,28,55.4,70.6,,,,
14,11.6,20,3.3,1019.4,77,0,14.2,24.4,57.6,,,,,
15,12.1,17.2,8.9,1018.3,89,36.58,12.7,12.6,44.6,48.2,,,,
16,16.4,24,11.1,1015.8,74,0.25,14,11.9,18.3,25.9,,,,
17,15.5,21.7,12.8,1016.2,73,0,16.1,10.4,13,,,,,
18,17.7,23.9,12.2,1013.2,77,0.76,15.3,24.6,40.7,59.4,,,,
19,19.9,25.6,12.8,1004.2,56,0.25,15.3,25.6,42.4,57.6,,,,
20,17.1,25.6,8.9,1007.9,57,0,16.1,11.9,35.2,53.5,,,,
21,19.4,28.9,8.9,1009.6,68,0,16.1,23,44.6,64.8,,,,
22,24.2,33.3,12.2,1003.5,57,0,15.3,33.7,46.5,61.1,,,,
23,23.8,33.3,18.3,1003.1,66,0,15.4,32.6,48.2,63,,,,
24,23.6,31.1,18.9,1004.1,57,0,16.1,39.3,50,64.8,,,,
25,19.1,28.3,13,1010.1,81,4.83,13.8,26.9,51.9,,,,,
26,20.7,26.7,13.3,1013.6,77,0.51,14.6,17.6,42.4,,,,,
27,21.1,28.9,15,1015.6,69,0,16.1,19.1,33.5,40.7,,,,
28,23.1,30,15,1013.3,59,0,16.1,20.7,25.9,38.9,,,,
29,23.7,31.1,16.1,1008.4,52,0,16.1,23.3,31.7,40.7,,,,
30,21.8,31.1,13.9,1008.1,55,0,16.1,24.6,35.2,42.4,,,,
31,20.3,30.6,13.3,1012,72,0,13.8,14.8,37,44.6,,,,
