Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.8,31,25,,,,16.1,8.5,14.8,,,,,
2,30.1,33,26,,74,0,16.1,10.2,18.3,,,,,
3,25.4,28,22,,,,14.6,16.3,48.2,66.5,,,,
4,20.8,24,18,,59,0,16.1,24.4,27.8,33.5,,,,
5,,,,,,,,,,,,,,
6,28.2,31,20,,55,0,16.1,12.6,20.6,29.4,,,,
7,26.5,30,23,,,0,16.1,0,,,,,,
8,26.2,31,22,,,0,15,2.8,7.6,,,,,
9,28.1,32,24,,71,0,15.6,6.7,14.8,,,,,
10,29.7,33,25,,64,0,14,7.4,27.8,,,,,
11,26.8,32,24,,,0,16.1,3.1,7.6,,,,,
12,27,30,24,,,,15,,,,,,,
13,30.2,32,26,,70,0,16.1,18.9,25.9,44.6,,,,
14,,,,,,,,,,,,,,
15,23.3,26,21,,47,0,16.1,12,16.5,,,,,
16,21.2,26,16,,,0,16.1,1.1,5.4,,,,,
17,,,,,,,,,,,,,,
18,23.3,29,19,,,0,16.1,0,,,,,,
19,,,,,,,,,,,,,,
20,23.3,27,18,,64,0,16.1,6.9,9.4,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,19.5,24,15,,61,0,16.1,9.6,16.5,25.9,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,24,28,18,,70,0,14.5,3.3,9.4,,,,,
28,24.5,30,21,,,0,16.1,4.3,9.4,,,,,
29,24.2,29,20,,,0,16.1,3,9.4,,,,,
30,19.2,24,17,,59,0,16.1,10,14.8,,,,,
31,20,24,14,,59,0,16.1,11.7,24.1,,,,,
