Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.9,33.9,16.7,1013,67,0,14.3,5,14.8,,,,,
2,27,33.9,21.1,1009.2,63,0,16.1,5.2,13,,,,,
3,27.1,34.4,19.4,1009.6,64,0,15.8,6.7,18.3,25.9,,,,
4,24.1,32.2,20,1010.1,73,0,15.6,11.1,57.6,,,,,
5,20.3,25.6,15.6,1019.5,65,39.62,16.1,13,24.1,37,,,,
6,15.6,23.3,11.7,1021.5,81,0,16.1,0,,,,,,
7,24.2,32.8,15.6,1014.4,65,0,16.1,4.1,14.8,,,,,
8,23.2,28.9,19,1013.7,83,11.94,15.6,9.8,44.6,75.9,,,,
9,21.6,27.8,17.8,1013.5,76,5.33,13.8,16.1,33.5,46.5,,,,
10,18.4,26.1,12.8,1017.4,72,0,15,13.9,22.2,35.2,,,,
11,18.2,26.1,10,1017.9,65,0,16.1,3.9,11.1,,,,,
12,17.7,22.2,16.1,1014.6,82,1.27,15.8,6.9,16.5,,,,,
13,19.2,26.1,15.6,1015.5,76,2.79,15,15.2,25.9,33.5,,,,
14,19.9,28.3,12.2,1014.9,68,0.25,16.1,4.6,16.5,,,,,
15,21.5,30,13.3,1010.9,67,0,16.1,15,25.9,37,,,,
16,21.1,28.9,16.7,1011.4,67,0,15.9,18.9,50,64.8,,,,
17,16.4,24.4,7.8,1018.4,59,3.81,16.1,9.8,18.3,29.4,,,,
18,14.9,22.8,6.7,1017,68,0,16.1,5.2,20.6,,,,,
19,17.1,24.4,8.9,1016.6,71,0,16.1,11.3,25.9,38.9,,,,
20,17.6,26.7,7.8,1015.8,65,0,15.8,3.9,13,,,,,
21,17.9,27.8,7.8,1017.1,59,0,15.9,2.8,11.1,,,,,
22,21.2,33.9,10.6,1015.5,54,0,16.1,8,29.4,38.9,,,,
23,23,33.3,12.8,1013.7,53,0,16.1,11.5,35.2,50,,,,
24,24.9,30.6,17.2,1012.4,50,0,16.1,14.1,31.7,42.4,,,,
25,20.2,26.7,17.2,1013.1,83,0,10.9,3.3,11.1,,,,,
26,22.7,30,18.3,1014.1,81,10.92,9.3,4.3,11.1,,,,,
27,22.6,32.2,13.3,1018.6,68,0.25,14,1.7,9.4,,,,,
28,23.1,32.8,15,1018.4,66,0,14.5,5.2,18.3,25.9,,,,
29,24.9,34.4,15,1014,57,0,15.8,12.4,25.9,42.4,,,,
30,26.8,35.6,19.4,1012.1,50,0,16.1,17.6,31.7,42.4,,,,
31,23.8,33.3,14.4,1014.5,64,0,14.5,3,11.1,,,,,
