Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.3,9,3,,60,0,15.8,16.1,25.9,29.4,,,,
2,0.1,10,-2,,77,0,9.3,17.8,29.4,33.5,,,,
3,-1.2,3,-3,,78,0,15.9,17.2,25.9,31.3,,,,
4,3.8,13,-2,,62,0,16.1,12,20.6,25.9,,,,
5,8.4,15,1,,53,0,15.9,11.3,22.2,,,,,
6,11.6,18,4,,44,0,15.1,7.2,16.5,,,,,
7,14.2,19,7,,40,0,15.6,6.1,18.3,25.9,,,,
8,12.1,19,4,,50,0,15.6,13.7,24.1,33.5,,,,
9,11.6,18,4,,57,0,16.1,16.5,27.8,33.5,,,,
10,12.9,20,5,,51,0,15.6,8.1,24.1,,,,,
11,11.8,21,3,,58,0,16.1,13.7,24.1,31.3,,,,
12,13.2,21,6,,55,0,16.1,7.2,22.2,31.3,,,,
13,13.1,19,4,,56,0,16.1,14.6,27.8,37,,,,
14,12.7,19,5,,50,0,16.1,15.9,27.8,37,,,,
15,13.9,20,7,,44,0,15.6,12,22.2,29.4,,,,
16,12.7,21,9,,61,0,15.8,7.8,22.2,27.8,,,,
17,11.1,18,8,,64,0,14.6,8,20.6,29.4,,,,
18,11.1,17,7,,65,0,16.1,10.9,22.2,25.9,,,,
19,12.3,17,6,,53,0,16.1,12.6,25.9,44.3,,,,
20,10.8,17,8,,59,0,15.8,15.2,22.2,,,,,
21,9.6,15,5,,65,0,16.1,7.6,14.8,,,,,
22,14.3,18,7,,46,0,16.1,8,20.6,27.8,,,,
23,15.3,21,6,,37,0,15.8,11.5,18.3,25.9,,,,
24,15.7,23,7,,38,0,15.9,12.4,22.2,31.3,,,,
25,17.3,23,8,,34,0,16.1,13.1,27.8,37,,,,
26,14.1,22,8,,46,0,15.9,17.4,27.8,44.3,,,,
27,11.4,17,7,,55,0,15.1,18.7,27.8,35.2,,,,
28,5.6,9,3,,73,0,15.4,16.9,27.8,37,,,,
29,6.1,9,3,,59,0,16.1,18.1,25.9,38.9,,,,
30,8,15,4,,54,0,16.1,12.4,24.1,35.2,,,,
