Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.3,9.1,1.3,1002.5,61,,154.3,9.4,18.3,,,,,
2,6.7,9.1,3.5,1007.5,51,0,160,11.1,24.1,,,,,
3,5.7,9.6,1.9,1012.8,56,0,155.3,11.1,25.9,,,,,
4,4.9,11.3,-2,1007.9,53,0,153.7,13.3,33.5,,,,,
5,6.7,13,0.8,1004.1,43,0,160,9.8,22.2,,,,,
6,8.3,13.5,1.3,1011.4,41,0,160,11.3,20.6,,,,,
7,8.4,13,5.2,1018.9,49,0,160,11.7,33.5,,,,,
8,6.7,11.3,2.4,1020.9,68,,160,10.4,20.6,,,,,
9,8.2,14.1,2.4,1031.5,53,0,160,8.7,18.3,,,,,
10,9.8,15.7,2.4,1036.4,,0,144.5,10,22.2,,,,,
11,12.4,18.5,3.5,1033.9,50,0,153.7,10.2,20.6,,,,,
12,12.3,19.1,4.6,1029.2,50,0,160,10.7,25.9,,,,,
13,12.9,19.1,4.1,1026.1,49,0,160,8.3,20.6,,,,,
14,13.7,20.7,6.3,1022.6,45,0,160,10.6,20.6,,,,,
15,11.5,18.5,6.3,1017.5,59,0,160,8.7,22.2,,,,,
16,5.1,12.4,2.4,1017.2,85,,65.8,12.6,25.9,,,,,
17,5.3,9.1,0,1017.7,74,,135.8,9.1,22.2,,,,,
18,7.6,10.2,4.1,1015.4,59,0,160,13.1,25.9,,,,,
19,6.2,10.7,1.3,1007.2,67,0,135.3,8.9,22.2,,,,,
20,8.2,11.3,5.2,1005,69,,142.1,9.6,18.3,,,,,
21,8.2,13,3,1003.8,58,0,160,15.7,29.4,,,,,
22,8.6,13,3.5,1003.6,58,0,160,15.7,29.4,,,,,
23,7.6,12.4,1.9,1017.9,66,,154.3,13.3,29.4,,,,,
24,9.7,15.7,2.4,1018.2,56,0,160,12.2,29.4,,,,,
25,10.6,15.7,6.3,1011.7,58,,147.4,11.3,22.2,,,,,
26,9.9,13,5.8,1011,68,,160,10.9,25.9,,,,,
27,9.8,13.5,3.5,1008.8,65,,141.5,10.6,18.3,,,,,
28,10.5,15.2,4.6,1011.8,61,,160,12.4,22.2,,,,,
29,9.9,15.2,1.9,1014.7,55,0,160,10.9,20.6,,,,,
30,11.2,16.9,4.1,1009.7,53,0,160,12,20.6,,,,,
31,12.2,18.5,6.3,1003.1,53,0,116.7,9.6,18.3,,,,,
