Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,3.4,10.6,0.6,,,,15.3,20,27.8,46.5,,,,
2,-0.8,1.1,-3.2,,,,10.6,20.7,29.4,,,,,
3,2.7,6.7,-2.7,,,,18.7,20.4,27.8,44.6,,,,
4,3.9,6.1,1.1,,,,11.3,20.4,27.8,46.5,,,,
5,8.3,12.2,0.6,,,0,24.8,7.6,14.8,,,,,
6,10.7,15,3.3,,,0,24,15.2,25.9,,,,,
7,14.1,18.9,9.4,,,0,19.6,17.8,27.8,,,,,
8,12.8,18.3,1.7,,,0,16.6,9.6,27.8,,,,,
9,14.1,20,8.3,,,0,9.8,12.8,20.6,,,,,
10,13.3,18.9,10,,,,8.5,16.1,25.9,,,,,
11,21,23.9,17.8,,,,12.1,24.3,27.8,46.5,,,,
12,8.7,15.6,3.9,,,,20.3,23.2,31.7,,,,,
13,6.9,10.6,3.3,,,0,24,21.5,27.8,,,,,
14,7.9,10.6,5,,,,10.6,17.8,22.2,,,,,
15,12.4,17.8,7.8,,,,7.4,21.1,29.4,,,,,
16,19.6,25.5,15.6,,,,10.3,24.8,33.5,55.4,,,,
17,10.8,16.7,7.8,,,,6.4,8.7,14.8,,,,,
18,15.9,21.1,11.1,,,,9,13.3,18.3,,,,,
19,20.6,24.4,16.7,,,0,15.1,21.7,27.8,,,,,
20,19.9,23.3,16.7,,,,13.4,24.3,33.5,46.5,,,,
21,17.1,19.4,14.4,,,,17.5,21.5,33.5,,,,,
22,9.7,15,5,,,,15.6,22.6,31.7,,,,,
23,20.1,25.6,6.7,,,0,24.3,22.6,33.5,50,,,,
24,13.7,23.9,9.4,,,,10.6,19.6,27.8,,,,,
25,6.8,10,5,,,,12.1,26.9,37,,,,,
26,6.1,9.4,3.3,,,,10.9,17.8,22.2,,,,,
27,5.5,8.9,3.9,,,,10.9,21.1,27.8,,,,,
28,9.4,14.4,1.1,,,0,22.7,9.6,18.3,,,,,
29,11.7,13.3,6.7,,,,18,17.6,25.9,37,,,,
30,16.8,21.7,8.9,,,0,9.7,10.2,18.3,,,,,
