Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,21,25,17.8,1014,77,0,15.1,4.1,13,,,,,
2,24.8,31.7,19,1013.1,73,0,14.3,12.4,27.8,48.2,,,,
3,23.2,26.7,21,1012.6,82,9.91,13,16.7,24.1,35.2,,,,
4,23.2,28.3,20,1013.4,69,33.53,14.6,5.6,16.5,,,,,
5,22.4,28.9,15.6,1013.7,65,0,15.1,4.4,18.3,,,,,
6,22.7,30.6,15,1013.4,61,0,15.6,6.1,24.1,,,,,
7,23.7,31.1,15.6,1014,62,0,15.6,7.2,25.9,31.7,,,,
8,23.8,31.1,15.6,1011.9,51,0,15.9,20.2,31.7,46.5,,,,
9,16.8,27.2,10.6,1020.1,37,0,16.1,8,16.5,,,,,
10,15.1,21.7,10,1024.5,48,0,15.9,11.1,22.2,29.4,,,,
11,15.3,21.1,12.8,1024.8,77,2.03,15.9,7.8,13,,,,,
12,20.1,26.7,15.6,1022.2,75,0,16.1,4.8,16.5,,,,,
13,23.3,30,15.6,1021.7,70,0,15,5.2,14.8,,,,,
14,24.4,31.1,19.4,1023.4,70,0,14.8,5.7,16.5,,,,,
15,24.7,31.1,19.4,1021.1,68,0,16.1,6.9,14.8,,,,,
16,23.1,28.9,17.8,1017.5,73,0,14.3,3.1,16.5,31.7,,,,
17,19.9,24,18.9,,89,22.61,15.1,5.4,24.1,,,,,
18,21.4,26.7,16.7,1011.3,71,4.32,15.6,9.8,20.6,29.4,,,,
19,21.1,27.2,13.9,1011,60,0,16.1,7.6,18.3,,,,,
20,20.7,26.7,13.9,1015.5,57,0,16.1,8.9,14.8,,,,,
21,20.2,26.7,14.4,1018.5,72,0,14.8,6.1,13,,,,,
22,21.5,27.2,17.8,1017.6,80,8.38,13.2,5.2,16.5,,,,,
23,24.4,30.6,20,1016.5,70,0,11.4,4.3,13,,,,,
24,23.5,31.7,19.4,1017.1,65,0,16.1,13.9,25.9,37,,,,
25,22.1,27.2,18,1018.7,69,0,16.1,13.3,24.1,35.2,,,,
26,23.6,31.1,18.3,1015,59,0.25,16.1,7.2,16.5,,,,,
27,25.3,33.3,17.8,1010.2,56,0,15.9,6.3,22.2,27.8,,,,
28,25.4,33.3,17.8,1009.2,57,0,15.9,5.4,24.1,31.7,,,,
29,21.8,27.2,18,1012.6,79,10.67,15,13,33.5,,,,,
30,21.8,26.1,18.9,1015.2,84,14.99,13.2,5,13,,,,,
31,21.5,23,20.6,1016.8,91,13.46,12.1,3.5,20.6,,,,,
