Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,12.2,20,5.6,1023.8,73,0,,3.5,13,,,,,
2,14.3,23.9,5.6,1021.4,75,0,,3.5,13,,,,,
3,16.7,26.7,7.8,1015.8,82,0,,0.9,7.6,,,,,
4,19.2,26.7,10,1013.6,95,4.06,,3,11.1,,,,,
5,16.4,20,15,1021.9,93,24.38,,4.3,9.4,,,,,
6,17.1,17.2,16.7,1026.9,93,0,,0,,,,,,
7,19.4,25,16.7,1025.7,84,0,,0.4,5.4,,,,,
8,18.2,26.1,13.9,1021.2,85,0,,0.2,5.4,,,,,
9,17.8,26.1,13.9,1022.9,79,0,,3.7,9.4,,,,,
10,15.7,17.2,14.4,1022.3,90,0,,7.4,11.1,,,,,
11,17.7,23.9,13.9,1019.2,85,3.81,,5.7,11.1,,,,,
12,17.3,24.4,13.3,1019.4,81,0,,1.3,11.1,,,,,
13,18.2,24.4,13.3,1016.9,89,0,,1.7,7.6,,,,,
14,18.8,26.7,14.4,1014.5,81,0,,2.4,9.4,,,,,
15,19.2,27.8,13.9,1013.1,81,0,,1.1,7.6,,,,,
16,20.7,28.3,13.9,1007.1,80,0,,6.3,13,,,,,
17,12.4,16.7,8.3,1009.4,77,12.45,,3.9,11.1,,,,,
18,10.1,17.2,6.1,1011.9,68,0,,5.9,14.8,29.4,,,,
19,11.7,21.1,5,1015.9,60,0.25,,4.6,14.8,,,,,
20,14.9,25.6,5,1016.2,68,0,,4.1,13,29.4,,,,
21,15.9,25.6,7.8,1015.3,71,0,,3.7,13,27.8,,,,
22,16.1,24.4,9.4,1010.9,72,0,,5.2,13,,,,,
23,10.7,20,7.8,1014.9,81,0.25,,2.8,9.4,,,,,
24,8.6,15.6,4.4,1020.2,89,1.02,,0.9,7.6,,,,,
25,16.3,23.3,4.4,1014.3,86,4.32,,2.8,9.4,,,,,
26,14.3,23.3,11.7,999.6,93,60.71,,5.4,14.8,31.7,,,,
27,14.7,17.8,11.7,1004,78,38.35,,9.3,14.8,31.7,,,,
28,11,18.3,5,1013.4,76,1.02,,2.6,11.1,,,,,
29,10.3,18.3,5,1011.7,77,0,,7,14.8,38.9,,,,
30,13.6,18.9,6.7,1002.8,83,13.21,,7.6,18.3,33.5,,,,
31,14,18.9,11.1,1001.5,83,1.78,,3.9,13,,,,,
