Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.3,13.9,-4.4,1023.5,50,0,15.9,5.9,13,,,,,
2,-0.1,13.9,-3.8,1025,53,0,15.9,26.3,37,59.4,,,,
3,-7.1,1.7,-14.4,1034,49,0,15.9,11.9,25.9,38.9,,,,
4,5.5,13.9,-4.4,1013.4,48,0,15.9,20.6,31.7,46.5,,,,
5,9.5,16.7,3.3,1007.1,49,0,15.9,8.7,18.3,,,,,
6,2.4,16.7,-1.6,1012.2,55,2.03,13.2,17.6,27.8,38.9,,,,
7,-6.6,-3.2,-9.4,1028.1,52,0,15.6,9.3,14.8,,,,,
8,-5.1,-1,-9.4,1030.9,55,0,15.6,4.4,13,,,,,
9,-0.6,6.1,-6.1,1016.1,60,0,15.9,13.7,22.2,,,,,
10,-2.7,6.1,-6,1014.2,80,0,10.6,13.7,22.2,,,,,
11,-11.7,-0.6,-15.5,1025,73,1.02,13.5,18.9,24.1,35.2,,,,
12,-14.1,-7.7,-21.8,1025.3,62,0,15.9,12.6,22.2,,,,,
13,-8.4,-5.5,-12.1,1014.9,71,1.52,9.8,18.7,29.4,40.7,,,,
14,-16.8,-5.6,-20.7,1023.1,73,0,12.2,5.2,14.8,,,,,
15,-20,-14.9,-26.2,1026.5,65,1.02,15,18.9,24.1,,,,,
16,-16.3,-10.5,-21.2,1029.9,61,0,15.3,11.3,18.3,,,,,
17,-11.6,-9.3,-13.3,1025.1,64,0,14,10.4,18.3,,,,,
18,-12.9,-9.3,-17.8,1026.3,78,0,12.6,3,9.4,,,,,
19,-14.9,-9.4,-19.5,1028.7,68,4.06,13.4,4.3,11.1,,,,,
20,-13.7,-8.8,-19.5,1027.4,75,0,11.3,2.2,13,25.9,,,,
21,-23.8,-8.9,-27.3,1039.1,61,1.27,12.9,17.6,25.9,38.9,,,,
22,-26.4,-19.5,-29.5,1049.1,60,0,15.9,7.6,14.8,,,,,
23,-24.4,-17.1,-30.1,1046.6,70,0,15.9,3.5,13,,,,,
24,-9.7,-3.2,-17.7,1028.6,72,0.51,10.5,11.1,18.3,,,,,
25,1.4,3.9,-7.2,1017.8,82,0,14,17.4,25.9,,,,,
26,-7.7,3.9,-14.4,1020.3,69,0,15.9,12.2,22.2,,,,,
27,1.4,3.9,-9.4,1014.7,82,5.08,13.2,16.1,22.2,,,,,
28,2.2,7.8,-2.8,1016.2,79,0,15.6,11.5,20.6,,,,,
29,1.4,7.8,-1,1010.8,89,0,9.7,13.9,22.2,,,,,
30,-1.8,4.4,-2.8,1016.1,94,0,1.3,9.4,13,,,,,
31,-1.3,0.6,-2.2,1013,84,0,10.6,15,27.8,,,,,
