Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.9,15.6,7.2,1022.2,86,14.99,14.3,15,24.1,37,,,,
2,7.3,15.6,3.9,1016,47,0,16.1,22.2,35.2,64.8,,,,
3,9.8,16.7,3.9,1019.1,42,0,16.1,11.5,25.9,44.6,,,,
4,11.1,18.3,5,1029.2,77,0,16.1,6.7,22.2,31.7,,,,
5,12.8,18.9,5,1030.4,84,0,13.8,7,20.6,,,,,
6,13.5,20,7.2,1026.3,95,0,12.7,3.5,18.3,,,,,
7,12.8,19.4,8,1026,89,0,12.2,3.1,14.8,,,,,
8,13.4,19.4,8.3,1027.9,94,0,10.5,3.5,14.8,,,,,
9,14.8,20.6,9.4,1027.3,94,0,9.2,5.2,18.3,,,,,
10,16,22.8,10.6,1023.2,93,0,14.5,8.1,20.6,,,,,
11,18.1,22.8,11.7,1017.2,99,12.95,13.8,13.3,22.2,33.5,,,,
12,16.1,20.6,10,1014.4,97,54.86,9.3,10.7,27.8,35.2,,,,
13,11.2,19.4,9.4,1016.6,87,3.05,13.5,7.8,20.6,35.2,,,,
14,10.4,16.1,5,1021.6,60,0,16.1,6.5,18.3,27.8,,,,
15,13.2,18.9,5,1017.6,81,0,16.1,19.3,37,66.5,,,,
16,12.9,21.7,10.6,1014.8,40,3.56,16.1,18,42.4,70.6,,,,
17,9.7,16.1,4.4,1017.2,41,0,16.1,14.4,33.5,57.6,,,,
18,4.7,13.3,2.2,1031.1,52,0,16.1,17,29.4,46.5,,,,
19,4.7,11.1,-0.6,1035.6,61,0,16.1,8.1,24.1,33.5,,,,
20,10.1,16.7,-0.6,1029.4,58,0,16.1,10,16.5,,,,,
21,11.6,18.9,5.6,1027.5,79,0,16.1,1.9,11.1,,,,,
22,12.6,18.9,7.2,1027.1,73,0,16.1,9.3,14.8,,,,,
23,11.9,15,7.8,1018.4,75,11.18,14.8,16.9,31.7,59.4,,,,
24,7.2,15,4.4,1027.4,58,0,16.1,9.3,13,,,,,
25,10.1,13.9,4.4,1026.7,68,0,16.1,13.1,18.3,35.2,,,,
26,14.7,18.9,7.2,1017.9,92,3.05,16.1,10.9,18.3,25.9,,,,
27,12.7,18.9,10.6,1018.4,82,0,15.8,2.8,7.6,,,,,
28,11.5,15,7.2,1017,72,0,16.1,5.2,18.3,38.9,,,,
29,8,15,1.7,1021.4,67,0,16.1,6.3,18.3,,,,,
30,13.8,17.8,10.6,1006,92,8.13,12.7,17.6,35.2,68.3,,,,
