Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,6.6,10,4.4,1015.4,80,4.32,21.1,14.4,24.1,31.7,,,,
2,4.9,7.8,3.3,1019.1,93,0.76,12.6,15.4,27.8,42.4,,,,
3,8.8,10,5,1006.2,97,32.51,4.8,26.7,38.9,61.1,,,,
4,7.6,10,5,1001.1,93,17.02,21.4,20.4,44.6,53.5,,,,
5,7.3,8.3,5.6,985.1,89,54.1,7.1,27.8,46.5,68.3,,,,
6,6.6,8.9,5.6,989.4,82,22.1,22.2,19.1,25.9,37,,,,
7,5.3,6.7,3.3,995.4,85,12.7,23.3,14.1,25.9,,,,,
8,6.4,8.9,1.1,997,90,21.08,10.1,26.5,44.6,64.8,,,,
9,3.8,9.4,1.1,1003.4,82,28.96,21.1,13.9,37,53.5,,,,
10,3.8,7.8,2.2,1002.5,86,14.48,20.4,9.8,22.2,,,,,
11,2.3,7.8,-0.6,1002.2,87,2.29,29.6,8.3,14.8,,,,,
12,2.6,4.4,-0.6,1008.5,68,0,23.5,11.1,22.2,42.4,,,,
13,1.9,3.9,0,1023,89,0,13.7,6.5,18.7,,,,,
14,6.6,8.3,0,1017.5,97,21.34,5.5,16.7,25.9,35.2,,,,
15,6.9,8.9,4.4,1016.2,83,46.48,25.6,14.8,27.8,40.7,,,,
16,5.3,8.3,0,1019.5,78,0.25,13.7,20.4,37,63,,,,
17,5.2,7.8,3.9,1008.8,85,19.56,23.7,14.4,33.5,59.4,,,,
18,5.1,7.8,2.8,994.4,87,27.18,12.9,17.8,31.7,35.2,,,,
19,2.6,6.7,-1.1,1015,73,0.76,19.8,11.3,33.5,48.2,,,,
20,6.1,8.9,-1.1,990.9,92,74.42,6.3,42.2,61.1,92.4,,,,
21,5.8,8.9,2.8,1002.4,83,63.75,20.4,20,51.9,68.3,,,,
22,7.8,8.3,2.8,1010,90,9.14,13.4,33,46.5,68.3,,,,
23,6.7,8.3,4.4,1006.2,88,24.38,8,29.1,50,77.8,,,,
24,6.3,8.3,4.4,996.2,89,42.67,11.1,22,33.5,50,,,,
25,5.9,9.4,3.9,1000.7,90,18.54,17.5,14.1,48.2,75.9,,,,
26,5.1,7.2,3.3,996.9,93,17.02,15.1,11.1,37,59.4,,,,
27,4.6,8.3,3.3,1003.2,95,7.62,11.7,9.6,13,,,,,
28,3.1,5,1.7,1003.4,91,5.33,19.8,9.4,13,,,,,
29,6.6,7.8,1.7,1006.3,83,2.29,21.6,13.5,20.6,,,,,
30,6.9,7.8,5.6,1008.5,67,0,22,18.3,25.9,44.6,,,,
31,6.9,8.9,5.6,1003,85,21.59,12.1,28.5,48.2,75.9,,,,
