Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.8,31.7,15.6,1012.6,56,0,15.8,6.9,20.6,33.5,,,,
2,23.6,32.8,15,1012,62,0,15.8,5,16.5,,,,,
3,25.3,32.8,17.8,1014,59,0,15.4,5,16.5,,,,,
4,24.4,32.8,17.8,1016.9,56,0,16.1,5.7,14.8,,,,,
5,25.2,30,22.2,1015.2,66,0,15.6,7.6,14.8,,,,,
6,22.9,27.8,21.1,1012.9,84,5.08,15,5.4,14.8,,,,,
7,23.9,30,20,1007.1,84,22.35,13.7,9.6,46.5,70.6,,,,
8,24.1,28.3,22,1006.4,83,55.12,15.6,5.9,20.6,38.9,,,,
9,23.9,30,21.7,1009.7,84,19.81,15.1,8.5,13,,,,,
10,25.5,31.7,21.7,1013.2,78,9.4,14.5,6.5,16.5,,,,,
11,24,29.4,18.9,1016.3,61,1.02,16.1,13.1,24.1,38.9,,,,
12,22.8,27.2,19,1013.7,73,0,16.1,10.6,16.5,,,,,
13,21.5,27.2,15.6,1015.1,68,5.84,15.1,8.3,16.5,25.9,,,,
14,20.3,27.8,12.8,1020.4,60,0,16.1,5.2,11.1,,,,,
15,23.4,30,17.8,1019.1,59,0,16.1,8.7,16.5,29.4,,,,
16,24.7,32.2,19.4,1016.2,73,0,16.1,4.6,14.8,,,,,
17,26.3,32.2,20,1015.2,70,1.52,16.1,5.9,14.8,,,,,
18,24.6,30,22.2,1014.3,83,1.27,15.4,5,14.8,,,,,
19,24.9,31.1,21.1,1010.9,81,36.58,16.1,7.2,16.5,,,,,
20,26.1,31.1,22.2,1009.7,72,0.51,16.1,13.1,29.4,50,,,,
21,26.2,33.3,19.4,1014.6,74,0.51,14.8,4.8,14.8,,,,,
22,26.3,32.8,21.1,1016.8,74,0,15.6,10,27.8,51.9,,,,
23,24.9,31.7,20.6,1017.1,78,8.89,16.1,7.6,14.8,,,,,
24,26.9,32.2,22.8,1013.2,76,0,16.1,8.9,33.5,40.7,,,,
25,25,31.1,20,1016.4,75,0,16.1,6.5,13,,,,,
26,24.3,29.4,20.6,1020.4,82,0,15.9,4.3,25.9,37,,,,
27,24.7,32.8,20.6,1021.4,72,1.27,16.1,3.7,20.6,,,,,
28,25.6,32.2,20,1020.5,68,0,16.1,7.6,16.5,,,,,
29,24.4,30.6,21.7,1019.7,79,0,15.4,8.3,24.1,35.2,,,,
30,25.7,32.8,21.7,1018.2,76,31.75,15.9,4.3,20.6,,,,,
