Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.4,30.6,23.9,1013.9,83,0,11.3,7.2,18.7,,,,,
2,27.2,31.7,23.9,1013.3,76,0,9.7,7.6,14.8,,,,,
3,27.3,31.1,24.4,1015.6,78,,9.8,9.3,18.7,,,,,
4,27.2,30.6,24.4,1018,80,0,10,10,16.5,,,,,
5,26.7,30.6,23.9,1017.5,82,3.05,11.3,11.3,22.2,,,,,
6,27.6,31.7,24.4,1015.6,78,8.89,11.3,10.4,22.2,,,,,
7,26.4,30.6,23.3,1016.4,82,5.08,11.3,4.6,11.1,,,,,
8,25.6,30,22.2,1019.2,86,0,9.2,11.7,18.7,53.5,,,,
9,26.6,29.4,24.4,1021.7,80,27.94,11.3,16.1,27.8,,,,,
10,26.1,28.9,22.8,1020.4,81,0,11.3,13,22.2,,,,,
11,25.3,28.9,22.8,1018.1,85,0,11.3,9.3,16.5,,,,,
12,26.2,29.4,23.3,1016.1,84,0,10.8,4.4,13,,,,,
13,25.9,29.4,22.8,1015.6,85,9.91,11.3,5.9,11.1,,,,,
14,24.6,27.8,22.2,1018.2,81,3.05,8.4,14.4,20.6,,,,,
15,23.9,29.4,19.4,1020.1,71,0,10.6,21.1,25.9,,,,,
16,24.1,27.2,20,1017.6,79,0,11.3,14.8,22.2,,,,,
17,23.6,27.2,22.2,1013.4,88,7.11,9,12.6,16.5,,,,,
18,26.3,30.6,22.2,1011.5,77,36.07,11.3,12.8,20.6,,,,,
19,25.2,30,21.1,1014.4,81,0,11.3,9.8,16.5,,,,,
20,26.2,28.3,23.9,1014.9,89,8.89,10.5,10.9,14.8,,,,,
21,25.6,27.8,23.3,1014.4,89,0,10.5,11.3,16.5,,,,,
22,26.6,28.9,23.3,1010.6,83,0,11.3,19.4,25.9,,,,,
23,26.5,27.8,23.9,1002.4,84,3.05,10.1,37.8,53.5,75.9,,,,
24,20.3,24.4,15.6,1012.7,79,0.51,10.8,14.1,20.6,,,,,
25,18.3,22.8,14.4,1017.6,68,0,10.8,15,18.7,,,,,
26,17.2,22.8,11.7,1018.9,66,0,10.8,14.8,18.7,,,,,
27,17.1,23.3,12.2,1018.4,69,0,10.8,13.5,18.7,,,,,
28,19.8,26.7,15.6,1017.4,77,0,10.8,8.5,16.5,,,,,
29,24.5,27.8,22.2,1016.7,80,0,9.3,14.4,22.2,34.8,,,,
30,24.2,26.1,21.1,1017.5,84,0,6.9,13,22.2,,,,,
