Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.4,11.3,4,,91,6.86,,8.3,14.8,,,,,
2,6,8.7,3.6,,89,1.02,,8.5,14.8,,,,,
3,8.6,10.1,2.9,,93,5.08,,10.7,13,,,,,
4,4.3,10.8,-0.1,,94,0.25,,5.4,13,,,,,
5,8.6,10.6,-0.5,,80,0,,7,9.4,,,,,
6,7.6,11.8,3.5,,84,13.72,,11.3,20.6,,,,,
7,3.8,7.5,2.8,,89,4.32,,10,14.8,,,,,
8,8.2,9.1,1.9,,84,0,,13.9,20.6,,,,,
9,6.9,10.8,3.2,,91,0.51,,5.2,11.1,,,,,
10,7.3,10.7,1.5,,90,5.33,,5,9.4,,,,,
11,5.4,11.7,2,,94,0.76,,2,11.1,,,,,
12,6.4,7.5,1.5,,96,4.32,,10,14.8,,,,,
13,4.1,6.5,2.7,,92,1.27,,9.4,13,,,,,
14,4.2,5.8,2.4,,91,0.51,,5.2,14.8,,,,,
15,3.9,6.8,2.8,,93,2.03,,10.9,13,,,,,
16,3.8,4.7,2.4,,95,1.27,,7.2,13,,,,,
17,4.7,7.9,2,,93,1.27,,5,13,,,,,
18,0.7,8.2,-2.4,,92,0,,1.9,9.4,,,,,
19,1.2,8,-3,,94,0.51,,2.4,9.4,,,,,
20,1.5,7.1,-1.3,,94,0,,3,9.4,,,,,
21,-0.6,7.8,-4.5,,88,0.25,,0.9,7.6,,,,,
22,-0.5,8,-5.3,,89,0,,1.5,11.1,,,,,
23,-0.5,8.5,-4.5,,90,0,,1.5,7.6,,,,,
24,0.5,8.2,-4.9,,90,0.25,,1.7,7.6,,,,,
25,1.8,5.1,-3.5,,96,0.25,,4.3,9.4,,,,,
26,2.1,9,-1.5,,92,0,,2.6,7.6,,,,,
27,6.9,12.7,-1.2,,85,0.76,,7.2,13,,,,,
28,5.6,8.9,2.5,,91,1.52,,6.1,11.1,,,,,
29,7.7,8.5,3.1,,90,4.83,,9.8,13,,,,,
30,8.4,9.4,6.1,,85,7.37,,15,22.2,,,,,
