Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,18.5,28.2,14.9,1012,62,0,15.6,24.3,33.5,,,,,
2,14.9,19.3,12.6,1020.2,68,0,16.7,16.5,24.1,,,,,
3,14.4,20.2,11.3,1023.5,71,0,20.9,16.5,24.1,,,,,
4,14.7,19.8,11,1023.7,57,0,,13,24.1,,,,,
5,13.1,19.3,8.6,1023.4,65,0,,16.9,22.2,,,,,
6,17.8,20.1,8.1,1017.5,61,0,,21.1,25.9,,,,,
7,18.5,21.5,15.5,1013.4,75,0,,16.5,24.1,,,,,
8,17.2,20.9,15.5,1016,81,0,,23.7,24.1,,,,,
9,17.3,20.7,15.2,1013.6,84,0,,23.7,25.9,,,,,
10,15.7,21.5,13.7,1016.3,85,0,,20.9,29.4,,,,,
11,14.3,19.5,10.7,1020.9,77,0.25,,17.8,29.4,,,,,
12,13.4,19.7,9.4,1021.2,67,0,,14.3,16.5,,,,,
13,14.1,18.6,9.2,1023.4,71,0,,17.8,27.8,,,,,
14,15.2,21.6,10.8,1024.1,76,0,,21.3,25.9,,,,,
15,14.8,20.5,10.9,1021.5,81,0,,13.7,16.5,,,,,
16,15.6,19.9,10.8,1019.7,85,0,,13.9,20.6,,,,,
17,16.7,19.9,10.1,1019.6,79,0,,23,29.4,,,,,
18,14.1,18.6,11.8,1022.8,55,0,,14.8,25.9,,,,,
19,15.4,17.5,10.4,1018.1,62,0,,13.3,18.3,,,,,
20,17.3,19.6,14.3,1014.3,77,0,,21.1,31.7,,,,,
21,15.8,20.9,13.3,1013.1,75,1.52,,21.9,29.4,,,,,
22,13.6,18.2,10.2,1018,77,0,,14.8,20.6,,,,,
23,15.4,18.5,9.8,1015.3,80,3.56,,22,27.8,,,,,
24,13.1,18.4,9.4,1017.8,66,0,,16.3,20.6,,,,,
25,15.9,17.9,8,1012.2,89,2.79,,19.4,25.9,,,,,
26,11.8,18,8.6,1020.8,68,0,,20,27.8,,,,,
27,17.1,19.9,8,1014.6,71,0.51,,29.4,31.7,,,,,
28,17.7,21.7,14,1008.7,78,18.29,,26.1,37,,,,,
29,13.4,17.4,10.4,1016.2,62,0.51,,26.7,40.7,,,,,
30,12.7,16.4,9.1,1020,73,0.51,,11.9,18.3,,,,,
