Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14.8,18,11.6,1005.4,72,3.05,29.9,16.9,27.8,,,,,
2,13.2,19.2,5.5,1011.8,63,0,34.3,14.1,27.8,,,,,
3,15,22.4,5.1,1015.6,56,0,40.1,12.4,22.2,,,,,
4,19.5,27.1,12.2,1014.2,45,0,34.3,13.5,16.5,,,,,
5,19.4,27.1,13.2,1014.6,56,0,38.6,24.6,37,,,,,
6,20.4,25.6,15.5,1013.3,51,0,34.3,9.6,16.5,,,,,
7,23.7,35.2,13,1007.6,38,3.05,34.3,29.3,37,,,,,
8,11,13,9.4,1007.4,86,18.03,18.5,34.8,46.5,,,,,
9,10.7,11.8,10,1005.3,92,3.05,12.9,53,74.1,,,,,
10,12.2,14.4,10.8,1012.6,88,1.02,10.6,42,55.4,,,,,
11,11.8,16.5,7.8,1020.8,74,0,34.3,33.9,46.5,,,,,
12,12.7,18.4,6.5,1025.7,62,0,38.6,26.1,37,,,,,
13,15.6,24.5,8.9,1024.5,53,0,43.3,11.5,27.8,,,,,
14,19.9,28.8,9,1021.9,31,0,38.6,9.6,16.5,,,,,
15,19.2,28.1,9.4,1015.9,39,0,38.6,12.4,16.5,,,,,
16,19.6,29.1,11.1,1009.9,41,0,38.6,10.6,16.5,,,,,
17,19.2,29.3,10.1,1010.7,37,0,31.5,14.4,16.5,,,,,
18,17.1,24,11.6,1013.1,61,0,34.3,21.9,37,,,,,
19,18.3,25.5,12,1018.2,65,0,34.3,24.1,37,,,,,
20,21,30,12.9,1020.2,53,0,38.6,11.7,16.5,,,,,
21,21.2,28.5,12.4,1021.3,52,0,38.6,12.4,22.2,,,,,
22,23.7,30.3,14.8,1022.5,41,0,38.6,11.7,22.2,,,,,
23,22.1,29,12.2,1023.8,41,0,38.6,12.4,27.8,,,,,
24,21.1,29.4,11.9,1020.8,51,0,34.3,6.9,9.4,,,,,
25,24.6,30.8,18,1013.6,40,0,34.3,11.9,22.2,,,,,
26,20.5,32.1,13,1008.6,54,7.87,28.6,24.6,37,,,,,
27,13,16.5,10,1008.2,93,12.95,13.4,19.4,27.8,,,,,
28,12.1,15.6,9.4,1013.4,79,0.51,24.3,20.9,33.5,,,,,
29,13.5,18,6.8,1016.2,69,0,34.3,11.9,16.5,,,,,
