Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,16.2,20.6,12.2,,57,0,42.5,15.6,27.8,,,,,
2,17.5,22.2,14.4,,53,0,45.1,21.5,25.9,,,,,
3,21.1,26.7,17.8,,41,0,50.7,12.8,24.1,,,,,
4,23.2,28.9,18.3,,31,0,52.5,14.1,27.8,,,,,
5,22.8,31.7,13.3,,27,0,55.5,15.7,25.9,,,,,
6,21.8,29.4,15.6,,43,0,48.1,9.6,22.2,,,,,
7,23.3,27.2,19.4,,42,0,40.6,12,29.4,,,,,
8,26.4,33.3,18.9,,34,0,35.6,10,24.1,,,,,
9,23.8,36.1,15.6,,41,0,34.9,17.4,33.5,,,,,
10,18,21.1,13.9,,52,0,38,17.8,37,,,,,
11,17.5,21.7,12.8,,57,0,37.5,17.8,42.4,,,,,
12,17.8,23.3,13.3,,61,0,37.3,8.5,27.8,,,,,
13,25.9,33.3,19.4,,31,0,40.4,7.4,18.3,,,,,
14,18.7,23.9,12.8,,51,0,39.4,20.4,29.4,,,,,
15,17.2,22.8,13.3,,53,0,50.1,14.6,27.8,,,,,
16,18.1,23.9,13.3,,55,0,53.1,15,25.9,,,,,
17,20,23.9,16.7,,51,0,39.8,9.6,22.2,,,,,
18,21.6,26.1,15.6,,52,0,43.1,18.5,29.4,,,,,
19,17.8,21.1,15.6,,61,0,34.9,18.5,35.2,,,,,
20,18.8,20.6,17.2,,55,0,42.5,13.3,22.2,,,,,
21,17.5,20.6,13.3,,51,0,41.8,20.2,29.4,,,,,
22,16.1,20.6,10.6,,56,0,40.1,15.7,33.5,,,,,
23,18,22.8,12.8,,52,0,43.6,8.3,22.2,,,,,
24,18.8,24.4,15,,54,0,45.1,10.9,29.4,,,,,
25,20.4,27.2,14.4,,51,0,37.5,9.3,20.6,,,,,
26,22.8,27.8,16.7,,51,,40.6,12.6,24.1,,,,,
27,21.6,27.2,15.6,,56,0,34.1,6.3,18.3,,,,,
28,21.9,26.7,15.6,,54,0,38.3,9.1,25.9,,,,,
29,19,21.1,16.1,,77,,33.8,10.9,27.8,,,,,
30,20.2,25,17.8,,73,0,30.9,24.8,40.7,,,,,
31,18,21.1,16.1,,62,0,29.8,22.6,33.5,,,,,
