Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,13.3,20.6,7.2,1016.8,56,0,,16.3,27.8,,,,,
2,22.6,27.5,6.3,1017.4,39,0,,17.8,31.7,,,,,
3,23.3,29,14.7,1015,33,0,,15,29.4,,,,,
4,21.6,27.4,12.6,1009.8,51,0,,13.9,24.1,,,,,
5,10.1,12.9,8.9,1022.9,92,3.05,4.8,13.1,24.1,,,,,
6,11.7,13.2,8.9,1022,96,0.51,,5.2,13,,,,,
7,14.9,20,10.6,1011,96,8.89,,13,22.2,,,,,
8,16.6,22.5,12.5,1005.5,53,0,,23.3,35.2,,,,,
9,12.7,16.7,9.5,1015,67,0.51,,22.6,31.7,,,,,
10,14.8,20.5,8,1018.9,62,0.25,,17,33.5,,,,,
11,12.5,15.5,6.2,1023.2,71,0,,9.8,16.5,,,,,
12,15.9,20,5.5,1019.7,71,0,,11.5,16.5,,,,,
13,13.7,17.8,10.4,1026.6,78,1.02,,22.6,29.4,,,,,
14,15.8,25.7,10.2,1018.3,74,0,,12.8,24.1,,,,,
15,16.3,27.2,10,1015.2,64,2.03,,18,37,,,,,
16,13.6,17.5,10,1014.2,82,8.89,,15,35.2,,,,,
17,13.9,18.2,10.5,1010.3,82,2.03,,17.6,29.4,,,,,
18,10.8,16.1,6,1017.1,71,0,,15.4,25.9,,,,,
19,13.8,16.5,5.6,1018.7,70,0,,10.6,18.3,,,,,
20,14.1,17.2,10.5,1016.9,80,0,,10,22.2,,,,,
21,13.1,15.7,9.4,1016.3,88,0,,7.8,18.3,,,,,
22,13.4,16,10.2,1013.6,84,0,,10,16.5,,,,,
23,16.8,24,9.7,1004.4,90,14.99,5.3,9.8,31.3,,,,,
24,9.1,13.2,5.7,1011.9,89,13.97,,18.9,29.4,,,,,
25,10.8,14,5.7,1024.3,81,11.94,,19.8,31.7,,,,,
26,11.8,13.7,9.3,1025.8,82,12.95,,19.3,35.2,,,,,
27,13,15.7,9.8,1022.4,89,2.03,,15.7,31.3,,,,,
28,15,18.2,11.3,1016.4,83,0.25,,12.8,25.9,,,,,
29,15.3,19,11.9,1010.4,87,0,,10.2,22.2,,,,,
30,16.1,18.5,11.5,1012.2,80,0,,17.8,24.1,,,,,
31,15.1,19.7,11,1017.6,83,0,,14.6,24.1,,,,,
