Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.1,17.7,7,1012.8,61,0,,13.3,24.1,,,,,
2,11.3,18,5.9,1015.9,59,0,,13.7,22.2,,,,,
3,11.4,18.8,4.8,1019.8,72,0,,5,18.3,,,,,
4,12.2,22.9,3.7,1018.5,64,0,,7.8,14.8,,,,,
5,11.6,19.8,3.3,1019.8,51,0,,14.8,24.1,,,,,
6,8.8,16.9,2.3,1023.5,62,0,,10.7,24.1,,,,,
7,11.4,17.4,1.6,1026.2,63,0,,10.9,18.3,,,,,
8,13.6,17.8,5.5,1026.4,83,0,,7.8,18.3,,,,,
9,13.4,18.5,8.9,1024.1,84,0,,5.7,13,,,,,
10,14.3,17.1,10.4,1021.4,85,72.9,,20.6,27.8,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,14.6,20,10.5,1024.1,90,0,,4.4,13,,,,,
20,16.6,21.5,9.9,1019.9,89,2.03,,7.4,16.5,,,,,
21,16.2,24.1,9.1,1018.7,77,0,,6.3,20.6,,,,,
22,15.6,25.5,8.5,1017.5,62,0,,7.8,22.2,,,,,
23,12.8,21,5.5,1020.1,53,0,,13.1,22.2,,,,,
24,11.1,18.6,4.5,1023.9,78,0,,10.4,20.6,,,,,
25,14.9,18.7,5.6,1024.7,82,10.92,,14.8,22.2,,,,,
26,13.5,18,10.3,1022.1,88,7.11,,9.6,16.5,,,,,
27,13.1,18.6,8,1018.1,85,0,,3,13,,,,,
28,17.4,22.6,7.8,1014.0,68,0,,11.1,16.5,,,,,
29,13.3,21.2,8.9,1012.9,49,0,,21.5,35.2,,,,,
30,13.6,17.3,6.2,1013.3,55,0,,29.4,42.4,,,,,
