Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.2,37.6,23.7,1010.5,57,0,,5.7,16.5,,,,,
2,29.8,37.2,25.4,1011.9,63,0,,2.8,9.4,,,,,
3,30,36.4,24.8,1012.0,59,0,,5.6,13,,,,,
4,28.8,36.5,24.4,1011.1,64,0,,4.4,14.8,,,,,
5,29.1,34.6,24.2,1011.0,65,0,,3.9,13,,,,,
6,29.7,35.6,23.6,1010.3,61,0,,5.6,13,,,,,
7,27.3,36,22.6,1010.7,72,7.87,,4.8,14.8,,,,,
8,28.6,32,24.8,1009.9,65,0,,5.4,14.8,,,,,
9,28.6,34.8,22.1,1008.0,55,0,,3.1,7.6,,,,,
10,27.4,33.6,22.8,1008.3,61,0,,7.2,22.2,,,,,
11,26.7,33,22,1009.9,69,0,,3,11.1,,,,,
12,28.6,35.6,23.1,1011.4,63,0,,2.8,13,,,,,
13,28.1,35,22.5,1011.1,68,10.92,,1.7,11.1,,,,,
14,27.4,33.7,23.7,1010.0,73,0,,2.4,9.4,,,,,
15,30.7,36.1,25.1,1009.5,57,0,,1.9,5.4,,,,,
16,28.1,33.3,24.2,1010.7,78,13.97,,3.7,14.8,,,,,
17,27.6,33.8,25.2,1009.6,77,2.03,,1.5,3.5,,,,,
18,25.8,34.1,22.8,1009.5,80,8.89,,3.3,9.4,,,,,
19,23.2,23.8,22.2,1009.9,99,32,,3.7,14.8,,,,,
20,27.1,31.6,22.7,1009.3,82,2.03,,3,13,,,,,
21,27.4,34.8,21.7,1010.3,73,4.06,,2.4,7.6,,,,,
22,29.7,35.8,22.5,1010.3,62,12.95,,4.6,11.1,,,,,
23,29,34.5,23.8,1010.0,64,0,,3.7,11.1,,,,,
24,28.4,34.4,24,1010.5,60,0,,4.4,9.4,,,,,
25,28.6,33.6,23,1009.9,58,0,,1.5,5.4,,,,,
26,27.9,32.5,22.9,1008.6,63,0,,2,5.4,,,,,
27,28.4,34.6,23,1009.4,59,0,,1.1,3.5,,,,,
28,29.2,34.4,23.5,1009.6,58,0,,0.9,5.4,,,,,
29,30.3,35.5,25.1,1009.1,55,0,,1.9,7.6,,,,,
30,30.1,35.2,23.9,1008.4,53,0,,1.3,3.5,,,,,
31,30.1,36.2,25.3,1008.0,57,0,,3,16.5,,,,,
