Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,17.8,21.4,15,1018.4,82,0,,17.2,24.1,,,,,
2,18.9,25.2,14,1018.5,75,0,,16.9,27.8,,,,,
3,18.9,25.5,12.6,1018.6,72,0,,15,24.1,,,,,
4,19.1,26.3,14,1015.1,70,0,,18.5,27.8,,,,,
5,17.2,26.4,8.4,1009.2,66,0,,12.2,24.1,,,,,
6,22.8,31.1,7.3,1005.1,43,0,,12.2,24.1,,,,,
7,20.2,29.7,13.9,1011.0,60,0,,18.9,27.8,,,,,
8,17.2,19.1,13.8,1016.5,84,0,,26.1,29.4,,,,,
9,19.7,22.6,18,1017.1,80,0,,19.6,25.9,,,,,
10,19.1,24.5,15.9,1017.8,77,0,,19.8,29.4,,,,,
11,19.7,26.9,13.1,1016.4,68,0,,19.3,25.9,,,,,
12,20.2,27.6,10.2,1011.7,68,0,,13.9,25.9,,,,,
13,20.4,28.2,12.4,1008.1,75,0,,9.4,16.5,,,,,
14,22.8,31.8,12.3,1007.3,56,0,,8,16.5,,,,,
15,25.5,33.9,13.7,1006.4,44,0,,11.3,14.8,,,,,
16,22.3,31.6,12.9,1007.2,55,0,,12,31.3,,,,,
17,22.2,32.8,10.7,1003.2,34,0,,15.9,31.3,,,,,
18,12.8,21.7,4.3,1008.9,43,0,,16.1,33.5,,,,,
19,16.8,24.4,3.7,1014.8,52,0,,15.6,22.2,,,,,
20,18.3,23.7,8.7,1014.7,61,0,,12.4,24.1,,,,,
21,19.4,29,10.7,1014.4,59,0,,14.1,20.6,,,,,
22,17.5,24.9,11.6,1015.0,69,0,,15.6,25.9,,,,,
23,18.6,25.5,11.1,1010.0,62,0,,10.9,16.5,,,,,
24,16.4,20.7,15,1010.7,80,0,,18.5,29.4,,,,,
25,14.6,20.3,9.1,1012.1,76,0,,13,25.9,,,,,
26,16.9,25.5,8.6,1013.7,73,0,,12,27.8,,,,,
27,18.4,24.8,9.2,1017.5,68,0,,17.8,27.8,,,,,
28,18.2,21.8,14,1017.5,85,0,,14.1,22.2,,,,,
