Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.6,23.4,9.1,,80,0,,3.1,9.4,,,,,
2,14.3,21.9,2.3,,82,0,,2.4,9.4,,,,,
3,13.1,23.4,8.1,,79,0,,1.3,9.4,,,,,
4,17,23.1,8,,66,,,7.2,14.8,,,,,
5,12.2,20.5,7.4,,62,0,,3.1,9.4,,,,,
6,12.9,20.8,5.7,,72,0,,2.8,9.4,,,,,
7,14.8,23.1,7.2,,62,0,,5.4,9.4,,,,,
8,13.3,23.5,6.5,,63,0,,3.1,11.1,,,,,
9,14.8,22.8,5.9,,61,0,,4.8,11.1,,,,,
10,14.7,24.4,6.6,,43,0,,3.7,7.6,,,,,
11,13.8,23.8,6.5,,47,0,,3.9,9.4,,,,,
12,8.8,12.4,7.1,,76,6.6,,3.5,5.4,,,,,
13,13.2,20,6.9,,66,0,,7,14.8,,,,,
14,13.9,22.2,8.5,,71,0,,2.8,11.1,,,,,
15,15,23.7,8.2,,71,0,,3.1,11.1,,,,,
16,16.2,25,9.2,,67,0,,3.9,7.6,,,,,
17,14.7,22.5,8,,70,0,,3.1,13,,,,,
18,13.3,22.5,6.6,,74,0,,2.8,9.4,,,,,
19,15.9,23.3,6.5,,68,0,,3.5,9.4,,,,,
20,16.6,26.1,8.3,,62,0,,5.6,13,,,,,
21,15.4,24.8,8,,56,0,,4.4,9.4,,,,,
22,15.5,24.8,7.3,,43,0,,3.3,11.1,,,,,
23,14.3,22.6,7.8,,66,0,,2.8,9.4,,,,,
24,14.5,23.3,7.9,,62,0,,2.8,9.4,,,,,
25,15.3,23.6,7.7,,69,0,,5,13,,,,,
26,15.1,23.1,9.7,,66,0,,4.8,13,,,,,
27,16.4,22.9,10.3,,63,0,,9.1,13,,,,,
28,14.7,21.9,10.7,,81,0.51,,6.3,13,,,,,
29,17.4,23.8,10.4,,74,8.89,,3.5,11.1,,,,,
30,15.9,22.9,10.2,,80,0.76,,3,11.1,,,,,
31,16.8,25,10,,74,0,,5.4,13,,,,,
