Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,10.4,13.2,6.6,1018.0,73,0,50.1,16.7,33.5,,,,,
2,7.4,15.2,-0.8,1021.5,74,0,41.7,8,18.3,,,,,
3,7.7,9,6.5,1020.6,90,5.08,45.1,3.5,3.5,,,,,
4,7.1,10.2,4,1016.2,93,3.05,50.1,6.1,11.1,,,,,
5,6.9,9.5,5.2,1020.9,88,1.02,50.1,8.7,18.3,,,,,
6,7.4,12.1,3,1026.9,91,0,33.5,6.9,22.2,,,,,
7,9.5,11,8.4,1028.4,89,0,50.1,3,3.5,,,,,
8,9.6,11.6,8.1,1026.3,89,3.05,50.1,3.5,3.5,,,,,
9,9.1,13.8,4.6,1027.3,88,0,50.1,3.5,3.5,,,,,
10,10.9,14.1,7.6,1029.5,72,0,50.1,9.4,22.2,,,,,
11,7.6,15,2.5,1032.8,76,0,50.1,4.3,7.6,,,,,
12,6.7,13.8,-0.5,1036.9,81,0,50.1,3.7,7.6,,,,,
13,7.1,14.5,-0.3,1038.6,81,0,50.1,4.6,9.4,,,,,
14,6.6,14.2,-0.5,1036.9,81,0,50.1,3,3.5,,,,,
15,9.3,12.8,5.3,1030.1,79,0,50.1,5,9.4,,,,,
16,8.3,11.5,2.8,1027.4,87,0.51,33.5,3.1,7.6,,,,,
17,6.4,11.7,0.8,1030.9,93,0,33.5,2.4,3.5,,,,,
18,7.6,14.2,1.2,1028.2,87,0,50.1,3.5,3.5,,,,,
19,9.1,14,4.5,1021.8,87,2.03,50.1,3.5,3.5,,,,,
20,11.1,12.2,10.2,1014.0,95,13.97,40.1,6.1,9.4,,,,,
21,9.2,13.5,6.7,1010.3,91,7.87,40.1,6.9,14.8,,,,,
22,9.4,10.3,8,1012.1,90,10.92,46.7,8.1,9.4,,,,,
23,11.2,14.2,9,1021.4,80,0,50.1,7,14.8,,,,,
24,9.2,12.2,6.6,1025.7,85,0,50.1,3.5,3.5,,,,,
25,8.5,15,1,1025.3,80,0,50.1,3,3.5,,,,,
26,10.8,12.5,8.6,1019.7,77,0,50.1,6.7,22.2,,,,,
27,10.6,12.6,8.6,1011.5,88,3.05,50.1,8.9,14.8,,,,,
28,8.3,11,5.2,1008.7,94,8.89,42,3.5,3.5,,,,,
29,8.9,9.8,8,1014.3,80,0,50.1,7.6,18.3,,,,,
30,8.9,14.8,0.3,1023.6,71,0,50.1,13,33.5,,,,,
