Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,14,17.1,11.8,,64,0,50.1,24.6,33.5,,,,,
2,,,,,,,,,,,,,,
3,12.6,16.6,9.6,,80,0,50.1,6.5,16.5,,,,,
4,15.1,20.1,12.1,,57,0,50.1,12.6,24.1,,,,,
5,15.9,19.8,14.1,,61,0,50.1,20.9,33.5,,,,,
6,13.7,15.9,12,,89,1.02,30.1,4.6,9.4,,,,,
7,,,,,,,,,,,,,,
8,13.9,15.7,12.6,,84,0,50.1,18.5,24.1,,,,,
9,,,,,,,,,,,,,,
10,14.9,18.7,13.2,,67,0,50.1,18.5,24.1,,,,,
11,14.5,18.4,12.7,,73,0,50.1,6.5,16.5,,,,,
12,13.6,18.5,9.4,,63,0,50.1,20.4,24.1,,,,,
13,10.3,16.2,8.2,,73,0,50.1,6.5,16.5,,,,,
14,9,12.6,7.6,,79,0,42.5,13,16.5,,,,,
15,9.4,11.1,7.7,,88,0,42.5,10.2,24.1,,,,,
16,12.4,13.7,10.9,,89,0,50.1,16.7,24.1,,,,,
17,12,14.6,7.1,,94,20.07,25.7,12.6,24.1,,,,,
18,,,,,,,,,,,,,,
19,7.6,10.9,5.3,,78,0,50.1,12.6,24.1,,,,,
20,6.5,7.9,5.5,,71,0,42.5,22.2,24.1,,,,,
21,8.4,10.5,5.9,,93,0.25,32.5,6.5,16.5,,,,,
22,10.7,11.3,9.9,,97,23.11,13.5,12.4,16.5,,,,,
23,,,,,,,,,,,,,,
24,8,8.4,7.6,,97,39.12,16.3,28.7,33.5,,,,,
25,8.2,10.8,6.1,,85,0.25,50.1,20.4,24.1,,,,,
26,8.2,12.8,5,,87,0.25,26.1,4.1,16.5,,,,,
27,11.1,11.9,10.4,,92,0.25,32.5,9.4,9.4,,,,,
28,11.4,13.6,9.5,,90,0.25,40.1,13,16.5,,,,,
29,11.2,12.5,9.5,,86,1.02,35.1,15.4,16.5,,,,,
30,13.8,14.2,12.9,,97,44.96,14.3,14.4,16.5,,,,,
31,10.2,12.8,8.3,,82,0.51,50.1,40,44.3,,,,,
