Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.7,29,20.1,1015,85,0,50.1,5.4,9.4,,,,,
2,24.9,28.5,19.6,1012,80,0,50.1,5.4,9.4,,,,,
3,25.7,29.4,20.9,1011.6,82,0,50.1,6.7,9.4,,,,,
4,24.4,28.3,21.2,1013.1,83,0,50.1,2.6,9.4,,,,,
5,24,28.3,21.5,1013.5,84,0,50.1,0.6,3.5,,,,,
6,23.3,26,21.4,1013.3,84,0,50.1,1.3,5.4,,,,,
7,24.7,28,19.2,1012.6,78,1.02,50.1,5,9.4,,,,,
8,26.4,29.6,20.9,1014.8,80,0,50.1,6.7,14.8,,,,,
9,26.5,29.5,22.6,1014.5,80,0,50.1,10.9,14.8,,,,,
10,25.2,29.8,21.5,1014,79,0,50.1,4.6,9.4,,,,,
11,25.6,28.9,21.1,1013.1,76,0,50.1,5.4,9.4,,,,,
12,26.4,28.8,20.9,1012.9,82,0,45.1,8,14.8,,,,,
13,24.2,28,22.5,1011.9,83,8.89,38,12.6,14.8,,,,,
14,22.3,27.6,21.5,1012.5,61,0,42.5,13.3,14.8,,,,,
15,,,,,,,,,,,,,,
16,24.3,26.8,20.3,1012.8,67,0,50.1,7,9.4,,,,,
17,24.9,28.6,22,1013,83,0,50.1,8.3,14.8,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,26.4,29.6,24,1015.3,79,0,50.1,9.4,9.4,,,,,
22,25.1,29,21.4,1015.1,79,0,50.1,5.4,9.4,,,,,
23,25,29,21,1013.6,78,0,50.1,7.4,9.4,,,,,
24,26.6,29.1,20.7,1013.4,79,0,50.1,9.4,9.4,,,,,
25,25.1,29.3,22,1012.7,90,27.43,32.5,7,9.4,,,,,
26,23.9,29.1,21.7,1013,,7.11,42.5,8.3,14.8,,,,,
27,24.7,27.1,21.5,1014.2,72,0,50.1,12,14.8,,,,,
28,24,27.5,21.5,1016,77,0,50.1,7.4,14.8,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
