Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.4,26,23,1012.3,78,7.87,45.7,17,18.3,,,,,
2,24.5,27,22,1013.6,63,0,50.1,18.7,20.6,,,,,
3,24.2,26,23,1014.3,65,0,41.4,26.1,29.4,,,,,
4,25.3,26,25,1014.4,68,0,45.1,24.1,29.4,,,,,
5,25.4,26,25,1014.5,73,0,50.1,17.4,18.3,,,,,
6,26.2,29,23,1012.2,82,0,50.1,8.5,16.5,,,,,
7,26.4,34,23,1011.3,76,7.87,37.2,20.6,25.9,,,,,
8,23.5,28,20,1012.8,70,0,50.1,12.6,18.3,,,,,
9,24,28,22,1014.4,67,0,50.1,18.9,24.1,,,,,
10,24.4,27,22,1015.7,68,0,50.1,14.4,16.5,,,,,
11,24.3,27,23,1015.9,76,0,45.1,12,18.3,,,,,
12,25.6,27,25,1017.1,70,0,45.7,18.9,29.4,,,,,
13,25.8,27,25,1018.5,77,0,45.1,29.8,33.5,,,,,
14,26.2,27,25,1019.2,83,,42.5,30.7,33.5,,,,,
15,26.3,27,25,1019.6,85,0,50.1,28.7,33.5,,,,,
16,26.6,28,25,1020.2,82,0,50.1,28.7,33.5,,,,,
17,26.5,28,25,1019.7,79,0,50.1,31.1,33.5,,,,,
18,25.6,28,25,1018.2,79,0.51,41.4,40,46.5,,,,,
19,25.8,27,25,1017.9,77,0.51,41.4,43.7,51.9,,,,,
20,25.8,27,25,1017.8,75,0,50.1,41.1,46.5,,,,,
21,25.6,27,25,1017.3,76,0,50.1,25.9,29.4,,,,,
22,26.3,29,25,1015.2,77,0,50.1,25.9,33.5,,,,,
23,25.8,26,25,1012.7,81,0,50.1,18.1,20.6,,,,,
24,26.2,29,22,1012.9,80,0,50.1,11.5,16.5,,,,,
25,25.8,28,25,1013.8,81,0,50.1,19.1,25.9,,,,,
26,26,27,25,1014.3,81,0,50.1,18.1,27.8,,,,,
27,25.6,28,24,1013.2,85,18.03,45.7,20.4,33.5,,,,,
28,26.5,30,23,1013.9,75,0,50.1,1.9,11.1,,,,,
29,25.8,28,24,1014.3,80,0,50.1,15.4,25.9,,,,,
30,25.6,27,25,1013.8,81,0,50.1,21.9,25.9,,,,,
31,26,27,24,1012.8,79,,50.1,22,33.5,,,,,
