Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.3,29.6,23.7,1011.7,,0,,5.4,13,,,,,
2,27,28.4,24.9,1013.1,,0,,8.9,20.6,,,,,
3,27.7,28.9,26.4,1013.8,,0,,12.2,18.3,,,,,
4,27.6,28.9,24.9,1012.6,,0,,11.9,20.6,,,,,
5,26.2,28.9,23.9,1007.5,,0,,11.7,20.6,,,,,
6,27.7,28.6,25.8,1011.2,,0,,23.3,37,,,,,
7,27.6,28.9,26.1,1015.0,,0,,14.1,20.6,,,,,
8,27.1,28.7,25.6,1014.1,,0,,13.3,22.2,,,,,
9,26.2,28,23.7,1011.8,,0,,14.4,35.2,,,,,
10,26.4,28.1,23.5,1012.0,,0,,17,31.3,,,,,
11,26.1,28.9,24.3,1014.6,,0,,5.6,9.4,,,,,
12,27.1,29.3,24.2,1015.2,,0,,5.2,11.1,,,,,
13,26.3,28.7,24,1013.1,,0,,4.8,14.8,,,,,
14,25.7,28.3,23.9,1011.0,,0,,5.6,9.4,,,,,
15,26.7,29.4,24.8,1011.3,,0,,5.4,11.1,,,,,
16,26.3,29,24,1012.6,,0,,6.3,18.3,,,,,
17,27.4,28.9,24.7,1013.0,,0,,6.9,13,,,,,
18,27.8,29,26.6,1012.7,,0,,10.7,18.3,,,,,
19,28,28.9,27.3,1012.4,,0,,13,20.6,,,,,
20,27.3,28.9,24.2,1011.8,,0,,7.2,14.8,,,,,
21,25.6,29.1,24.4,1010.8,,0,,4.1,5.4,,,,,
22,25.2,28.6,22.9,1010.9,,0,,5.2,9.4,,,,,
23,26.3,28.5,24.4,1012.1,,0,,5.7,11.1,,,,,
24,26.1,28.8,24.1,1013.3,,0,,6.5,14.8,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,27.6,28.7,25.4,1013.8,,0,,10.7,22.2,,,,,
