Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,26.3,28,24,1010.1,86,23.11,45.1,5.6,13,,,,,
2,26.7,29,23,1008.8,85,25.91,45.1,1.5,9.4,,,,,
3,27.7,30,24,1008.7,81,3.05,40.1,3.7,9.4,,,,,
4,28.2,31,24,1008.6,80,0,50.1,5.6,13,,,,,
5,28.4,30,24,1008.8,76,0,43.9,8.9,16.5,,,,,
6,26.8,30,23,1009.1,81,10.41,45.1,4.6,9.4,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,25.8,30,24,1007.8,88,32.26,26.7,5.2,18.3,,,,,
10,27.2,30,24,1007.8,82,7.11,33.3,9.3,20.6,,,,,
11,25.8,29,24,1008.3,91,33.02,18.3,5.2,16.5,,,,,
12,26.5,29,24,1005.7,87,92.96,40.1,5.2,16.5,,,,,
13,27,29,24,1002,86,6.1,40.1,3.9,18.3,,,,,
14,28.2,30,26,1000.4,79,3.05,43.9,9.6,13,,,,,
15,28.5,30,27,1001.1,79,0,20,17,31.7,,,,,
16,28.2,30,26,1003.4,77,6.1,22.4,26.9,31.7,,,,,
17,26.5,29,24,1006.2,86,10.92,14,29.1,33.5,,,,,
18,27,28,24,1009.1,85,7.11,20,5.9,16.5,,,,,
19,27.5,30,24,1010.1,83,0,24.9,3.7,13,,,,,
20,28,30,26,1010.9,80,0,43.3,8,16.5,,,,,
21,26.8,29,24,1011.8,83,8.89,45.1,7.8,9.4,,,,,
22,26.8,29,23,1011.6,81,7.11,45.1,12.2,22.2,,,,,
23,26.2,28,23,1010.9,84,4.06,38,15.6,25.9,,,,,
24,25.5,28,22,1011.1,86,29.97,31.7,5.2,9.4,,,,,
25,26.5,29,23,1010.7,85,5.08,40.1,6.3,9.4,,,,,
26,27,30,23,1009.4,83,7.87,40.1,2.6,9.4,,,,,
27,26.2,29,24,1008.6,86,32,24,8.5,16.5,,,,,
28,26.8,29,23,1007.6,85,0,22.9,3.7,13,,,,,
29,25.7,28,23,1009.3,87,14.99,29.9,7.4,22.2,,,,,
