Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.8,26,15.6,1010.7,73,0,29,11.9,29.4,,,,,
2,18.9,25,14.9,1012.3,73,0,35.7,5.2,24.1,,,,,
3,19.8,24.5,16,1014.9,71,0,31.2,9.8,20.6,,,,,
4,18.2,24,13.4,1016.2,71,0,34.9,6.5,20.6,,,,,
5,18.9,24,14.4,1015.7,77,0,34.9,7.2,18.3,,,,,
6,20,25.2,14.4,1014.9,69,0,38.8,10.2,22.2,,,,,
7,22.3,25.5,18.5,1013.7,74,0,34.9,6.3,14.8,,,,,
8,21.9,27.8,17,1013.2,79,0,31.2,6.7,14.8,,,,,
9,23.6,27.2,19.5,1012.1,83,0,38.9,5.4,18.3,,,,,
10,23.6,28.4,19.4,1011.8,84,0,38.8,6.7,14.8,,,,,
11,23.2,27.8,19.4,1012.8,86,0,38.8,9.6,14.8,,,,,
12,24.9,29.6,20.9,1015.2,75,0,38.8,13.9,22.2,,,,,
13,23.4,28.4,18.5,1016,71,0,38.8,10.9,18.3,,,,,
14,23,28.2,18,1016.6,69,0,38.8,13,22.2,,,,,
15,22.1,27.5,17.2,1014.2,71,0,31.2,11.5,24.1,,,,,
16,22.5,27.7,18.4,1012.1,70,0,31.2,13,22.2,,,,,
17,18.2,23.9,13.3,1011.6,68,0,34.9,8.5,22.2,,,,,
18,18.7,24.7,13.6,1012.2,70,0,42.5,13,27.8,,,,,
19,19.4,24.6,15,1012.5,65,0,42.5,8.1,18.3,,,,,
20,19.3,25.2,14,1011.2,68,0,34.9,9.1,22.2,,,,,
21,21.1,25.3,16.5,1011.7,76,0,32.3,6.9,11.1,,,,,
22,21.8,26.1,17.6,1013,70,0,37.2,6.7,18.3,,,,,
23,20.7,24.3,16.2,1015.1,71,0,38.8,8.3,14.8,,,,,
24,19.3,25.2,15.5,1015.7,68,0,34.9,8.1,25.9,,,,,
25,18.6,25.1,13.6,1015,69,0,31.2,11.5,18.3,,,,,
26,20.7,25.6,15.3,1015.4,68,0,34.9,7.8,11.1,,,,,
27,22.2,26.6,17.3,1015.3,72,0,38.8,14.8,20.6,,,,,
28,21.3,27.4,17,1015.3,71,0,38.8,10.6,18.3,,,,,
29,19.6,25,14,1014.2,66,0,46.2,10.7,18.3,,,,,
30,21.2,25.9,15,1012.6,64,0,34.9,11.1,18.3,,,,,
31,22.8,27.7,19.5,1010.8,71,0,34.9,7.2,20.6,,,,,
