Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.9,27.7,18.9,1013.7,82,0,42.5,3,13,,,,,
2,23.6,28,18,1014.4,79,0,50.1,3.9,14.8,,,,,
3,23.4,28,19.8,1014.0,79,0,34.9,3.5,11.1,,,,,
4,22.6,25.5,19,1013.9,83,2.03,46.2,5.2,18.3,,,,,
5,24,26.2,19,1015.3,72,0,50.1,4.8,9.4,,,,,
6,24.1,27,21.4,1016.1,74,0,37.5,10.7,18.3,,,,,
7,23.6,26,21,1016.1,89,14.73,23.8,9.4,18.3,,,,,
8,24.4,26.2,22.5,1013.2,89,10.41,34.9,14.3,25.9,,,,,
9,23.8,26,22.3,1011.9,91,8.64,20,16.9,31.3,,,,,
10,23.4,27,20,1011.3,94,9.91,8.2,14.4,27.8,,,,,
11,22.6,25,19.6,1008.7,95,119.38,34.9,4.8,18.3,,,,,
12,23.1,29,19,1007.2,82,0,46.2,5,18.3,,,,,
13,22,28.5,17.8,1008.2,82,2.79,46.2,7.2,22.2,,,,,
14,21.7,26,17,1011.3,83,3.81,46.2,8.5,24.1,,,,,
15,21.1,26,16.8,1013.0,83,1.02,42.5,4.8,18.3,,,,,
16,19.9,25.6,15,1013.5,83,2.54,42.5,4.1,14.8,,,,,
17,20.6,26.2,15,1013.9,82,0,50.1,4.3,11.1,,,,,
18,21.7,27,15.7,1014.4,81,0,50.1,4.3,14.8,,,,,
19,22.3,28.3,17.6,1014.5,87,0,50.1,1.1,9.4,,,,,
20,22.9,27,18,1014.8,87,0,50.1,2.6,13,,,,,
21,22.6,27.2,19,1015.0,89,0,50.1,4.3,18.3,,,,,
22,24.3,27,18.5,1015.6,85,0,50.1,8.3,27.8,,,,,
23,22.9,27,19,1016.5,87,2.79,50.1,7,25.9,,,,,
24,24.5,28.4,19,1017.2,83,0,50.1,8.1,18.3,,,,,
25,23.1,29,19,1015.8,85,0,50.1,3.5,18.3,,,,,
26,22.6,28.5,18,1015.2,87,0,50.1,4.1,18.3,,,,,
27,23.1,26.5,18.5,1016.1,82,1.78,24.9,16.3,25.9,,,,,
28,23.5,25.9,21.5,1017.4,72,6.1,42.5,17.6,24.1,,,,,
29,22.8,25,20,1019.1,68,0.51,50.1,12.2,27.8,,,,,
30,23.1,26,19,1018.7,67,0,46.2,18,24.1,,,,,
