Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.2,24.9,22.4,1015.5,,0,,15.7,24.1,,,,,
2,22,24.5,18.4,1015.3,,0,,9.3,22.2,,,,,
3,22.6,24.6,21.2,1014.3,,0,,8,16.5,,,,,
4,22.6,24.4,20.8,1013.9,,0,,5.6,13,,,,,
5,23.1,26.7,20.8,1012.1,,0,,6.5,18.3,,,,,
6,24.1,25.9,22.8,1011.8,,0,,9.1,20.6,,,,,
7,24.2,26.6,22.9,1013.3,,0,,5.7,14.8,,,,,
8,25.8,28.2,24,1014,,0,,8.7,24.1,,,,,
9,26.3,29.5,24.1,1014,,0,,7.6,20.6,,,,,
10,26.3,29,24,1014.1,,0,,10,25.9,,,,,
11,25.8,30.3,23.1,1014.8,,0,,7,18.3,,,,,
12,25.2,28.1,22.2,1014.4,,0,,8.5,20.6,,,,,
13,24.7,27.1,22.8,1015.3,,0,,9.4,22.2,,,,,
14,24.6,25.5,23.7,1015.5,,0,,7,20.6,,,,,
15,23.2,25.3,21.6,1015.4,,0,,14.6,20.6,,,,,
16,23.2,24.4,21.6,1014.8,,0,,11.9,24.1,,,,,
17,23.1,25.4,20.8,1015,,0,,7.8,20.6,,,,,
18,24.2,26.8,21.8,1015.2,,0,,5.9,14.8,,,,,
19,22.2,24,20.8,1014.8,,0,,10.7,22.2,,,,,
20,20.9,22.7,19.6,1014.3,,0,,4.3,11.1,,,,,
21,23.8,25,22.8,1015.4,,0,,16.3,22.2,,,,,
22,23.4,25.6,20.7,1015.4,,0,,15.2,24.1,,,,,
23,23,24.3,21.4,1014.7,,0,,18.5,29.4,,,,,
24,22.9,23.8,21.5,1013.9,,0,,12,20.6,,,,,
25,22.8,24.1,21,1013.1,,0,,17.2,42.4,,,,,
26,23.5,24.8,21.6,1013.6,,0,,17.6,25.9,,,,,
27,24.2,25.5,23.5,1013.4,,0,,16.7,22.2,,,,,
28,24.4,25.8,22.6,1012.3,,0,,13.1,22.2,,,,,
29,22.2,23.4,20.7,1011.7,,0,,12.8,20.6,,,,,
30,21.8,23,21.1,1011.4,,0,,8.5,16.5,,,,,
