Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.9,26,20,1009.8,79,0,20,6.5,18.3,,,,,
2,22.8,27,20,1010.6,81,0,20,6.7,16.5,,,,,
3,21.4,24,20,1009.6,92,34.04,12.1,7.2,16.5,,,,,
4,20.8,26,16,1008.1,72,0.51,20,7,18.3,,,,,
5,21.6,27,17,1008.2,75,0,20,6.1,18.3,,,,,
6,22,28,17,1009.9,73,0,31.2,9.8,18.3,,,,,
7,23.7,26,21,1011.1,75,0,28.6,7.8,18.3,,,,,
8,22.3,26,19,1012.5,78,6.1,20,16.7,20.6,,,,,
9,20.6,21,20,1014.6,92,5.59,12.9,15.6,24.1,,,,,
10,21.2,22,20,1015.1,87,10.92,13.4,19.1,29.4,,,,,
11,22.4,24,21,1015.7,64,0,20,32.4,37,,,,,
12,22.6,24,21,1016.3,67,0,20,36.1,37,,,,,
13,23.4,25,23,1014.8,70,0,20,23.3,37,,,,,
14,24.2,26,21,1015.5,84,0,17.2,10.6,18.3,,,,,
15,21.7,23,21,1016.9,87,34.04,12.6,20.2,31.7,,,,,
16,24.3,26,23,1016.1,83,1.02,18.5,20.2,33.5,,,,,
17,24.5,26,23,1015.5,81,1.02,18.8,29.6,33.5,,,,,
18,24.7,26,24,1016.3,81,0,20,35.2,37,,,,,
19,24,25,22,1016.8,81,0,18.3,26.5,33.5,,,,,
20,24,26,20,1014.9,84,,21.2,22.2,31.7,,,,,
21,23,27,19,1014.2,79,0,34.9,13.9,29.4,,,,,
22,23.9,27,23,1015.2,74,,33.8,27.4,33.5,,,,,
23,23,26,22,1014.9,86,25.91,16.3,27.6,37,,,,,
24,23.4,25,21,1012.7,85,2.54,20,25.9,33.5,,,,,
25,24.6,26,24,1010.6,77,0,20,34.3,37,,,,,
26,23.6,24,23,1009.4,92,4.06,17.7,33.2,40.7,,,,,
27,23,24,22,1009.3,95,27.94,14.3,26.1,33.5,,,,,
28,23.3,25,22,1009.8,92,9.91,18.8,0,,,,,,
29,23.5,25,23,1010.6,89,3.56,18.3,15,29.4,,,,,
30,23.1,25,22,1013.4,74,0.25,20,29.3,31.7,,,,,
31,22.4,24,21,1014.5,67,0.51,20,30.6,31.7,,,,,
