Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,25,27,23,1016.6,79,0,18.3,8.3,13,,,,,
2,25.3,27,24,1016.6,81,0,18.3,9.3,13,,,,,
3,25.8,28,24,1017.3,79,0,18,11.1,14.8,,,,,
4,24.4,28,22,1016.8,82,0,15.9,7.8,14.8,,,,,
5,21.8,23,21,1017.6,,39.88,10,16.7,25.9,,,,,
6,20.8,22,20,1019,64,0,18.3,10,11.1,,,,,
7,21.7,24,20,1020.4,64,0,16.7,10.9,13,,,,,
8,22.3,24,21,1020,67,0,20,10.9,13,,,,,
9,22.2,24,20,1019.3,69,0,16.7,7,11.1,,,,,
10,22.2,25,20,1017.9,78,0,13.4,14.8,22.2,,,,,
11,22.7,25,21,1017.1,64,0,20,8,18.3,,,,,
12,22.8,25,21,1016.4,66,0,18,8.5,13,,,,,
13,22.3,25,21,1016.9,65,0,17.2,10.2,13,,,,,
14,22.6,26,21,1017.8,62,0,18.5,6.7,11.1,,,,,
15,23.8,26,22,1018.2,67,0,18.3,8.5,9.4,,,,,
16,24.2,26,22,1017.3,71,0,20,5.4,7.6,,,,,
17,23.7,26,20,1016.2,77,0,18.3,0.9,5.4,,,,,
18,24.8,27,23,1015.2,77,0,20,8.3,13,,,,,
19,24.6,26,23,1015.7,78,0,20,9.6,16.5,,,,,
20,24.3,27,22,1017.2,83,0,16.7,6.1,7.6,,,,,
21,24.8,27,23,1017.6,79,0,20,3.3,9.4,,,,,
22,25,27,23,1017.1,82,0,20,8.7,11.1,,,,,
23,24.8,27,23,1016.6,80,0,20,10.4,13,,,,,
24,25.8,27,25,1017.2,78,0,20,13,16.5,,,,,
25,24.3,27,23,1016.6,83,0,16.7,14.8,18.3,,,,,
26,24.3,26,23,1014.7,85,0,14,15.7,20.6,,,,,
27,22.8,24,21,1012.8,85,0,11.6,8.3,13,,,,,
28,23.8,26,21,1012.4,73,0,16.7,5,9.4,,,,,
29,23,26,21,1013.4,76,0,16.7,4.6,7.6,,,,,
30,23.7,25,21,1014.8,75,0,20,3.3,9.4,,,,,
