Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29.2,31,24.5,,72,13.97,15.1,17,25.9,,,,,
2,28.8,31.1,26.6,,77,0,15,5.7,20.6,,,,,
3,29.1,31,26,,78,0,13.5,13.9,29.4,,,,,
4,28.8,31,22,,80,,11.9,26.1,33.5,,,,,
5,28.6,31.5,22.5,,81,5.59,12.1,24.8,33.5,,,,,
6,27.5,30,22.5,,86,13.21,11.4,20.4,,,,,,
7,27.1,31,23.9,,86,44.7,12.4,4.6,27.8,,,,,
8,28.4,31.5,23.9,,80,25.15,13.7,8.5,18.3,,,,,
9,28.5,31,25,,79,0,13.8,12.8,25.9,,,,,
10,29.1,31,25.3,,77,1.02,15,7.8,18.3,,,,,
11,29.2,31.6,24.9,,76,3.05,15,6.9,16.5,,,,,
12,28.6,31,25.3,,80,0,15,8,16.5,,,,,
13,29.1,31,24.1,,76,14.48,14.5,15.4,24.1,,,,,
14,29.4,32,25.4,,75,4.83,15,19.3,29.4,,,,,
15,29.1,31,28,,77,0.51,11.9,21.3,27.8,,,,,
16,29.2,31,25.4,,78,0,14.8,20.7,29.4,,,,,
17,27.8,31,25,,86,3.3,13.5,17.4,25.9,,,,,
18,29.3,31.1,24.8,,79,1.02,14.8,22.2,31.7,,,,,
19,29.8,32,26.6,,77,2.54,15,21.9,29.4,,,,,
20,29.7,32,26.7,,74,2.29,15,23.3,33.5,,,,,
21,28.7,31,26,,81,0,12.4,26.3,35.2,46.5,,,,
22,29.3,31.1,25.4,,78,4.83,15,23.5,31.7,,,,,
23,29.3,31.4,26.1,,75,0.51,15.3,19.4,27.8,,,,,
24,28.9,31.5,26.7,,79,0,15,12,22.2,,,,,
25,26.2,28,25,,90,7.62,11.4,4.4,25.9,,,,,
26,28.7,31,22.9,,78,39.12,15,18.5,29.4,,,,,
27,29.1,31.1,25.7,,75,0,15,20.6,29.4,,,,,
28,29.1,31.3,26,,78,0,15,16.9,25.9,,,,,
29,27.8,32,25,,84,0.25,13.8,8.5,24.1,,,,,
30,27.9,31,25,1010.2,83,3.81,16.6,16.7,24.1,,,,,
31,29.3,31,25.3,,75,1.78,15,21.7,33.5,,,,,
