Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28,31,26.7,1009.4,73,21.08,26.2,20.6,31.3,,,,,
2,27.8,31,26,1008.2,74,0,26.2,19.6,31.7,,,,,
3,28.3,31,27.2,1008.8,74,9.91,28.6,18,24.1,,,,,
4,27.9,31,25,1009.6,74,1.02,28.6,19.3,27.8,,,,,
5,28.7,32,26,1008.7,73,0,21.4,24.8,33.5,,,,,
6,27.6,29.4,24.4,1008.8,79,5.08,22.9,25.4,27.8,,,,,
7,28,29.4,27.2,1009,77,0,25.1,26.5,29.4,,,,,
8,28.1,30,27.2,1008.4,72,0.25,26.2,21.9,27.8,,,,,
9,27.7,29,26.7,1008.1,77,1.02,26.2,21.1,31.3,,,,,
10,27.8,31,26,1007.2,76,0,28.6,19.6,29.4,,,,,
11,27.9,29.4,26.7,1006.8,73,0,28.6,17.8,22.2,,,,,
12,28.1,29.4,26,1007.3,77,0,28.6,23.3,27.8,,,,,
13,26.8,29,25,1008.1,82,0,23,20.4,27.8,,,,,
14,26.6,28.3,25.6,1010,85,28.96,24.5,14.4,20.2,,,,,
15,27.8,29,25,1010.1,79,7.87,21.7,18.9,25.9,,,,,
16,28,30,26,1011.1,79,15.24,26.2,20.4,24.1,,,,,
17,27.8,30,27.2,1010.2,78,2.54,27.4,27,33.5,,,,,
18,28.2,30,26.1,1009.4,77,7.87,27,25.7,33.5,,,,,
19,27.3,29.4,23,1009.8,83,6.35,22.9,14.3,29.4,,,,,
20,28.2,31,27.2,1010.2,74,0,28.6,26.9,31.3,,,,,
21,28.2,31,22,1009.8,68,0.25,27.4,22.6,24.1,,,,,
22,28.3,29.4,27.2,1008.4,72,4.06,26.2,23.3,27.8,,,,,
23,28.4,30,27.2,1008.4,72,0,26.2,23.2,33.2,,,,,
24,27.6,30,25.6,1007.6,77,0.25,26.7,19.8,25.9,,,,,
25,28.1,31,24,1007.6,75,2.03,24,23.3,,,,,,
26,28.4,31,27.8,1007.8,75,3.05,28.3,18.3,25.9,,,,,
27,28.3,31,27.2,1009,73,0,27.4,22,27.8,,,,,
28,28.3,31,27,1009.8,72,0,26.2,22.4,31.3,,,,,
