Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.6,31.1,23.9,,80,6.86,19.6,15,18.3,,,,,
2,29.3,31.1,21.7,,75,11.18,21.1,19.1,24.1,,,,,
3,29.6,31.7,21.1,,75,19.3,20.1,26.1,31.3,,,,,
4,,,,,,,,,,,,,,
5,29,33.9,21.1,,73,0,22.9,10.6,14.8,,,,,
6,29.1,31.7,20.6,,77,0,22.5,10.9,13,,,,,
7,29.7,31.7,21.1,,77,0,22,14.3,16.5,,,,,
8,29.6,31.7,23.3,,80,5.59,20.8,13.7,18.3,,,,,
9,28.2,30.6,23.3,,85,9.91,18.5,19.3,31.3,,,,,
10,29.4,31.1,22.2,,80,0.51,21.9,14.8,18.3,,,,,
11,28.8,32.2,22.2,,79,1.52,21.9,15.4,24.1,,,,,
12,29.4,33.9,21.7,,78,6.86,21.4,19.1,25.9,,,,,
13,30.3,31,23.9,,76,0.76,22.4,15.7,25.9,,,,,
14,29.3,32.2,21.7,,79,6.35,22.5,8.3,14.8,,,,,
15,28.3,32.8,26.6,,83,6.86,20.6,33,,,,,,
16,28.9,31.7,21.1,,80,8.38,21.7,14.1,18.3,,,,,
17,,,,,,,,,,,,,,
18,27.5,29,22.2,,82,5.84,20.3,9.4,16.5,,,,,
19,28.6,29,21.1,,81,1.78,20.6,12.2,16.5,,,,,
20,26.4,29,25,,90,3.56,17.4,12.4,33.5,,,,,
21,28,29,20.6,,79,40.64,22,9.8,14.8,,,,,
22,28.4,29,22.2,,81,5.08,21.4,8.1,13,,,,,
23,29.7,31.1,22.8,,76,0.25,22.4,18.3,33.5,,,,,
24,,,,,,,,,,,,,,
25,28.7,29.4,28,,79,32.51,17.9,37,46.5,,,,,
26,27.6,29,20.6,,87,35.56,16.9,34.1,42.4,,,,,
27,27.1,28,20.6,,87,34.04,18.5,29.4,46.5,,,,,
28,29.2,30,21.7,,79,28.19,21.6,23.5,29.4,,,,,
29,29.2,31.1,22.2,,77,16.26,22.4,10.4,16.5,,,,,
30,28.9,32.2,21.1,,80,7.11,23.5,10.7,16.5,,,,,
31,27.9,31.7,25.7,,83,7.62,20.4,6.9,9.4,,,,,
