Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27.7,31.1,22.8,1009.4,78,4.06,23.5,10.4,18.7,,,,,
2,27.6,32.2,22.2,1009.2,81,0.25,22.7,8.1,16.5,,,,,
3,27.5,32.2,23.3,1010.7,82,0,22.2,6.9,11.1,,,,,
4,26.6,32.2,23.3,1011.3,85,4.06,20.6,9.1,20.6,,,,,
5,28.8,32.8,23.3,1009.8,79,5.08,23.7,9.1,20.6,,,,,
6,27.2,32.2,23.9,1009,86,7.87,21.4,8.5,18.7,,,,,
7,25.8,30,23.9,1008.9,89,26.92,18.5,7.6,16.5,,,,,
8,28,32.2,23.3,1008.3,81,0,23,8.7,16.5,,,,,
9,27.3,31.1,22.8,1007.8,84,9.91,20.3,7.4,13,,,,,
10,27.1,31.1,23.9,1007.9,83,6.1,22.2,8.3,14.8,,,,,
11,26.3,32.2,23.3,1009.3,89,18.03,16.9,7.2,13,,,,,
12,27.8,31.1,22.8,1009.5,80,4.06,23,8.9,16.5,,,,,
13,28.9,32.2,23.9,1009.5,77,0.51,23.5,10,18.7,,,,,
14,28.6,33.3,23.9,1009.5,76,2.03,24,8.9,16.5,,,,,
15,28.7,32.2,23.3,1009,76,0,24,8,14.8,,,,,
16,27.4,32.8,23.3,1008.8,81,17.02,22.9,8.7,18.7,,,,,
17,26.3,31.1,23.3,1008.3,88,41.91,15,10,18.7,,,,,
18,26.4,30.6,21.7,1008.5,88,69.09,20.6,7.8,18.3,,,,,
19,27.8,32.2,21.7,1009.2,78,50.04,23.5,9.4,13,,,,,
20,28.1,32.2,22.2,1008.9,76,1.02,24,9.8,16.5,,,,,
21,27.8,32.2,22.8,1008.7,78,0,23.3,10.2,16.5,,,,,
22,26.8,31.1,23.3,1009.3,83,6.1,18.7,10.9,22.2,,,,,
23,25.4,28.9,22.8,1010.1,89,80.01,12.4,10,14.8,,,,,
24,26,28.9,22.8,1008.4,88,122.94,19.2,7.6,14.8,,,,,
25,26.2,30.6,23.3,1006.6,88,7.11,20.4,8.7,18.7,,,,,
26,27.4,30,22.8,1008.1,82,6.1,21.4,11.9,18.7,,,,,
27,26.5,31.1,23.9,1009.6,87,5.08,20.8,10.7,22.2,,,,,
28,26.7,30,22.8,1008.6,85,0,18,10.7,27.8,51.9,,,,
29,26.3,29.4,22.2,1007.7,88,3.05,20.3,6.3,11.1,,,,,
30,26.8,30,23.9,1007.7,84,17.02,21.1,9.3,18.7,,,,,
31,27.9,32.2,22.8,1006.9,82,3.05,23.7,7.4,11.1,,,,,
