Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,28.4,32.2,23.3,1007.5,81,13.46,23.8,10.4,18.3,,,,,
2,27.3,30,22.5,1007.3,84,14.48,22.7,7.4,27.8,,,,,
3,28,30,22.8,1008.6,81,16.51,23.5,13.5,25.9,,,,,
4,28.7,31.7,27,1008.3,79,0,24.1,11.1,22.2,,,,,
5,28.1,31.7,23.3,1006.4,83,1.02,23.2,7,13,,,,,
6,27.7,31.7,23.3,1006.1,87,10.67,22.2,12.2,22.2,,,,,
7,28.1,30,22.8,1006.7,83,7.11,23.7,12.2,22.2,37,,,,
8,28.8,32.8,23.9,1006.8,79,7.37,23.7,8.5,18.3,,,,,
9,27.9,31.1,23.9,1005.9,85,17.27,20.3,14.4,22.2,,,,,
10,27.2,29,22.2,1005.2,88,3.56,22.4,4.8,14.8,,,,,
11,27.8,30.8,22.8,1006.5,85,17.78,21.7,16.1,25.9,,,,,
12,29.1,31.8,22.2,1007.3,81,1.78,23.5,17.6,25.9,,,,,
13,28.9,31.7,22.2,1008.8,78,3.05,24.1,10.6,18.3,,,,,
14,28.4,31.1,23.9,1010.3,77,0,24.1,5.9,18.3,,,,,
15,27.3,31.1,22.8,1011.3,83,2.03,23.8,7.6,27.8,,,,,
16,28.4,32.2,21.1,1010.4,80,0,23.8,5,16.5,,,,,
17,29.1,32.2,23.3,1009.7,77,0.25,24.1,11.9,14.8,,,,,
18,28.1,31.7,25,1009.0,84,14.48,22.4,14.4,27.8,37,,,,
19,28.2,30.6,26.7,1008.1,82,6.35,23.5,10.7,27.8,,,,,
20,27.3,31.7,23.3,1008.4,83,26.42,24.1,9.4,18.3,,,,,
21,27.3,31.7,22.2,1007.3,82,1.52,24,11.3,14.8,,,,,
22,27.9,29.4,22.8,1007.9,81,12.45,23.8,19.3,33.5,46.5,,,,
23,26.9,27,26.8,1010.1,89,4.57,23.7,2.8,5.4,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,28.4,31.7,26,1008.9,81,0.25,23.8,15.6,31.3,,,,,
29,28.1,31.7,23.3,1009.3,81,14.99,22.7,12.4,29.4,46.5,,,,
30,27.7,31,20.6,1011.1,81,17.78,23.7,8.1,16.5,,,,,
