Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,27,30.5,26,1010.1,90,,,4.1,16.5,,,,,
2,29.3,31.3,25.9,1010.2,80,0,,14.3,16.5,,,,,
3,28.8,31.1,27.3,1010.7,80,0,,7.6,14.8,,,,,
4,29.1,30.9,27.2,1009.9,82,0,,15.7,24.1,,,,,
5,27.2,31,24.9,1008.9,87,,,18.9,37,,,,,
6,27.1,29,24.6,1008,85,,,5.7,20.6,,,,,
7,27.8,31.4,25.2,1008.5,83,0,,12,20.6,,,,,
8,28.1,30.4,24.9,1009.8,81,0,,7.4,14.8,,,,,
9,28.1,30.4,25.9,1009.3,81,0,,6.9,14.8,,,,,
10,28.3,31.5,25.3,1008.7,78,,,5.6,9.4,,,,,
11,26.5,30.7,25.4,1008.7,88,,,9.8,14.8,,,,,
12,26.9,30.5,25.2,1008,88,,,14.3,20.6,,,,,
13,27.2,30.9,24.6,1007.1,86,,,7.2,13,,,,,
14,27.1,30.7,24.5,1006.1,87,,,7.4,13,,,,,
15,29,31.5,24.8,1005.2,72,0,,13,16.5,,,,,
16,28.9,31.7,27.1,1005.2,75,0,,11.5,18.3,,,,,
17,29.2,31.7,26.7,1006.1,71,0,,12.4,16.5,,,,,
18,28.9,32,26.4,1007.5,71,0,,8.9,16.5,,,,,
19,28.7,31,26.3,1007.1,75,0,,14.8,18.3,,,,,
20,29.1,31.6,27.5,1006.4,72,0,,15,20.6,,,,,
21,29.1,31.7,27.4,1006.6,73,,,14.6,20.6,,,,,
22,29.2,31.7,27.6,1006.9,75,0,,17.4,24.1,,,,,
23,29.1,31.5,27.3,1007.6,72,0,,19.6,24.1,,,,,
24,28.7,31.4,26.9,1007.8,76,0,,15,22.2,,,,,
25,28.3,30.9,26.5,1007.8,79,,,9.6,16.5,,,,,
26,28.3,32.2,25.9,1007.7,78,0,,6.1,13,,,,,
27,28.4,30.7,25.7,1008,80,0,,14.1,20.6,,,,,
28,28.8,31.2,26.7,1008.2,77,0,,16.1,20.6,,,,,
