Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,24.5,30.4,16.4,,44,0.25,,8.5,13,,,,,
2,24.6,33,17.4,,49,0,,10,16.5,,,,,
3,20.3,23.2,17.4,,83,0,,7,14.8,,,,,
4,22.6,26.6,17.2,,87,0.25,,9.1,14.8,,,,,
5,23.1,32.7,18.7,,81,2.03,,8.9,14.8,,,,,
6,20,21.7,17.7,,98,6.1,,6.3,11.1,,,,,
7,20.1,23.2,17.4,,87,0.51,,10.7,20.6,,,,,
8,22.4,27.1,16.5,,61,3.3,,14.6,27.8,,,,,
9,18.7,25.2,13.7,,53,0,,8.9,18.3,,,,,
10,19.5,21.7,13.6,,75,0,,12.6,20.6,,,,,
11,21,24.2,18.2,,79,0,,12,18.3,,,,,
12,23.2,30.9,18.2,,69,0,,9.3,16.5,,,,,
13,29.9,36.1,18.4,,31,0,,13.1,22.2,,,,,
14,23.1,34.1,15.7,,55,8.64,,13.1,18.3,,,,,
15,16.3,17.6,15.5,,99,28.45,,8.1,13,,,,,
16,20.4,26.4,15.2,,95,6.1,,8.3,13,,,,,
17,23.6,31.9,16,,51,0,,13.1,22.2,,,,,
18,16.7,19.2,15,,84,1.02,,9.4,16.5,,,,,
19,18.7,24,14.7,,71,0,,11.9,20.6,,,,,
20,22.3,27.4,15.1,,75,2.03,,8.9,16.5,,,,,
21,19.6,24,17.4,,83,0.51,,12.2,20.6,,,,,
22,19.9,22,17.2,,79,0.25,,11.3,18.3,,,,,
23,20.6,24.7,17.7,,85,0,,9.4,18.3,,,,,
24,21.2,25.9,17.5,,89,5.08,,7.2,14.8,,,,,
25,22.4,26.2,17.7,,83,0.25,,11.9,16.5,,,,,
26,23.5,28.2,19.1,,79,0,,8.1,16.5,,,,,
27,22.3,27,18.9,,86,0,,9.3,14.8,,,,,
28,25.2,30.4,18.7,,66,0,,10.4,18.3,,,,,
29,28,35.5,21.7,,45,0,,7.4,13,,,,,
30,28.6,33.2,21.5,,45,0,,8.3,16.5,,,,,
31,,,,,,,,,,,,,,
