Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,11.8,19.6,4.1,1024.8,72,0,12.9,15.6,24.1,,,,,
2,11.9,20.3,7.5,1024.4,91,4.06,14.6,16.1,24.1,,,,,
3,13.3,18.4,8.1,1023,87,7.87,9.7,18.9,27.8,,,,,
4,14.3,20,10.5,1019.5,84,0,12.1,27.6,35.2,,,,,
5,12.3,18.5,10.5,1020.3,87,0.76,13,17.2,24.1,,,,,
6,9.1,15.2,0.3,1018.5,79,5.08,11.4,6.7,11.1,,,,,
7,11.5,15.9,8.8,1012.8,76,2.03,14.2,13.1,22.2,,,,,
8,10.6,17.8,5.5,1016.5,68,0.51,15,11.1,16.5,,,,,
9,13.1,20.5,7,1017.6,62,0,14,15.7,31.3,,,,,
10,12.3,22.5,4.4,1020.5,66,0.51,16.9,20.2,31.7,,,,,
11,15.7,23.6,4.4,1014.6,70,2.03,11.1,11.9,20.6,,,,,
12,19.8,26,14.5,1008.9,64,4.06,13.5,8.3,13,,,,,
13,18.6,26.5,12.4,1010.2,70,2.03,16.6,15.2,37,,,,,
14,13.3,23.6,5.4,1016.5,75,0,15.9,15.6,22.2,,,,,
15,14.8,22.4,11.8,1011.9,90,46.99,12.1,16.9,29.4,,,,,
16,14.8,20.7,11,1005,87,0,11.3,14.4,27.8,,,,,
17,13.9,21,10.1,1013,76,0,18.8,15.9,20.6,,,,,
18,12.3,17.7,8.8,1020.9,79,0,15.6,18.1,25.9,,,,,
19,10.6,17.4,8.3,1021.3,82,7.11,14.2,29.4,38.9,,,,,
20,11,14.6,6.4,1022.7,77,0,15.6,15.9,29.4,,,,,
21,12.6,17.9,5.4,1021.7,71,0,11.7,9.3,20.6,,,,,
22,15.1,20.7,8.8,1019.1,68,0,15.3,13.1,18.3,,,,,
23,16.2,21.8,9.9,1018.5,74,0,15,12.6,18.3,,,,,
24,15.6,23,10.9,1019.5,79,0,12.9,23.2,38.9,,,,,
25,15.4,22.4,13.1,1019.9,81,0,14.8,31.5,42.4,,,,,
26,14.7,18.7,11.9,1013.3,84,25.91,11.6,18.9,40.7,,,,,
27,12.3,19.4,8.7,1017.5,58,0,15,32.6,42.4,,,,,
28,9.1,19,-1.5,1022.3,63,0,13.2,10,20.6,,,,,
29,15.7,23.5,6.7,1019.5,59,0,13.7,19.6,27.8,,,,,
30,18.1,24.8,8.5,1014.8,63,0,16.3,13.9,18.3,,,,,
31,17.3,25.5,13.1,1006.6,81,0.76,12.4,8.1,11.1,,,,,
