Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,-0.3,2,-2,,88,0,20,14.8,22.2,,,,,
11,-0.2,1,-9,,100,9.91,1.4,22.4,37,,,,,
12,-0.5,0,-1,,100,0,,55,101.9,,,,,
13,-3.3,0,-5,,67,35.05,7.7,40.7,50,,,,,
14,-2,-1,-3,,99,0,0.3,26.9,37,,,,,
15,-2,-1,-4,,99,5.08,0.2,78.5,92.4,,,,,
16,,,,,,,,,,,,,,
17,-3,-1,-5,,96,,6.3,26.9,40.7,,,,,
18,-2,-1,-5,,100,0,5,15.4,37,,,,,
19,-0.3,1,-1,,96,4.06,2.1,48,92.4,,,,,
20,0,1,-1,,,13.97,2.1,,,,,,,
21,1.2,2,-1,,100,32,8,38,50,,,,,
22,3.2,5,-1,,81,5.08,22,6.7,9.4,,,,,
23,3,4,2,,92,0,15.1,19.8,33.5,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,-1.2,0,-3,,96,9.91,2.9,74.6,107.6,,,,,
27,0.2,4,-5,,70,0,27.5,1.3,5.4,,,,,
28,,,,,,,,,,,,,,
29,2.2,4,0,,89,0,20,50.9,64.8,,,,,
30,-1.5,0,-4,,96,0,0.3,53.2,74.1,,,,,
