Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,13.3,21,3,1011.1,60,0,20,5.9,9.4,,,,,
2,13.9,22,8,1005.6,55,0,19.5,7.6,14.8,,,,,
3,10.3,18,-2,1019.3,60,,18.5,4.8,9.4,,,,,
4,10,16,6,1024.6,48,0,18.5,11.1,24.1,,,,,
5,11.6,22,7,1025.5,44,0,18.3,9.6,24.1,,,,,
6,9.1,20,4,1016.3,52,0,17.7,8.9,24.1,,,,,
7,7.2,15,2,1017.4,61,0,15,5,9.4,,,,,
8,8.2,19,0,1022.6,61,0,16.6,3.7,9.4,,,,,
9,9.7,17,2,1022.1,55,0,20,5,9.4,,,,,
10,9.6,15,4,1019.2,49,0,20,8.1,24.1,,,,,
11,11.7,17,3,1015.9,52,0,20,8.5,14.8,,,,,
12,11.7,19,3,1016.6,56,0,18.7,2.8,9.4,,,,,
13,10.1,20,5,1019.5,63,0,14.5,7.6,27.8,,,,,
14,16.6,23,12,1012.4,69,0,12.2,5,14.8,,,,,
15,16.1,21,13,1010.3,86,0,7.2,7.4,24.1,,,,,
16,15.8,22,9,1015.8,51,0,10,0.6,3.5,,,,,
17,12.2,16,10,1012.3,52,0,16.1,7.8,14.8,,,,,
18,13.6,18,8,1008.2,76,0,18,10.6,24.1,,,,,
19,10.9,16,3,1018.8,50,0,20,8.3,33.5,,,,,
20,8.8,14,3,1020.6,66,0,22.2,8,24.1,,,,,
21,6.8,15,2,1018.5,69,0,24.9,11.9,24.1,,,,,
22,9.7,17,4,1013.2,80,0,24.9,10.4,24.1,,,,,
23,14.1,20,9,1020.8,69,0,24.3,5.4,14.8,,,,,
24,13.9,20,5,1020.4,61,0,23.5,3.5,9.4,,,,,
25,12.7,15,8,1018.7,77,0,21.9,4.6,9.4,,,,,
26,11.8,14,10,1016.1,87,0,20,9.6,14.8,,,,,
27,12.9,17,10,1012.8,85,0,16.9,0.9,9.4,,,,,
28,13.3,16,10,1013,81,0,20,0.2,3.5,,,,,
29,15.3,22,9,1013.6,75,0,19.5,2,9.4,,,,,
30,12,17,7,1020.3,76,0,20,5,24.1,,,,,
